      IND             SHC     g | h         n         m
      182   -8.204352e+02         g        13         7
      183    1.117367e+03         h        13         7
      184    1.152803e+03         g        13         8
      185    3.448389e+02         h        13         8
      186   -6.131288e+02         g        13         9
      187   -1.174368e+02         h        13         9
      188   -1.470204e+02         g        13        10
      189    1.091906e+03         h        13        10
      190   -2.569369e+02         g        13        11
      191    5.038193e+02         h        13        11
      192   -1.139378e+02         g        13        12
      193    4.877133e+02         h        13        12
      194   -3.582343e+02         g        13        13
      195    5.495400e+01         h        13        13
      196    1.045470e+03         g        14         0
      197   -2.164763e+03         g        14         1
      198    5.789750e+01         h        14         1
      199    1.024250e+03         g        14         2
      200   -8.171057e+01         h        14         2
      201   -1.265545e+03         g        14         3
      202    1.069343e+02         h        14         3
      203   -3.432703e+01         g        14         4
      204    1.581821e+03         h        14         4
      205    1.225710e+03         g        14         5
      206   -9.699263e+02         h        14         5
      207    1.546151e+02         g        14         6
      208    8.237986e+02         h        14         6
      209    6.087701e+02         g        14         7
      210    2.403410e+02         h        14         7
      211    7.451900e+02         g        14         8
      212   -2.495195e+02         h        14         8
      213    2.806114e+02         g        14         9
      214   -3.051217e+02         h        14         9
      215    2.906469e+02         g        14        10
      216    5.038912e+02         h        14        10
      217    3.660059e+02         g        14        11
      218    2.850500e+02         h        14        11
      219    2.482017e+02         g        14        12
      220    2.643036e+02         h        14        12
      221    2.840841e+02         g        14        13
      222    1.624544e+02         h        14        13
      223   -4.800014e+01         g        14        14
      224    1.937799e+02         h        14        14
      225    8.823070e+02         g        15         0
      226   -1.951589e+03         g        15         1
      227   -1.329043e+03         h        15         1
      228   -2.082151e+02         g        15         2
      229   -5.284797e+02         h        15         2
      230   -5.813284e+02         g        15         3
      231    4.299073e+02         h        15         3
      232   -4.575533e+02         g        15         4
      233   -2.664981e+01         h        15         4
      234    2.106968e+02         g        15         5
      235   -7.718500e+02         h        15         5
      236   -4.496476e+02         g        15         6
      237    2.108542e+02         h        15         6
      238    3.852052e+02         g        15         7
      239   -4.339857e+01         h        15         7
      240   -3.034200e+02         g        15         8
      241   -6.902564e+02         h        15         8
      242   -1.172211e+02         g        15         9
      243   -1.536259e+02         h        15         9
      244    1.448448e+02         g        15        10
      245   -1.190816e+02         h        15        10
      246   -4.253935e+01         g        15        11
      247   -3.296008e+01         h        15        11
      248    1.589189e+02         g        15        12
      249   -5.400439e+01         h        15        12
      250    1.236882e+02         g        15        13
      251   -1.150100e+02         h        15        13
      252    1.526376e+02         g        15        14
      253   -1.540285e+02         h        15        14
      254    9.338042e+01         g        15        15
      255    9.340528e+01         h        15        15
      256   -1.644087e+02         g        16         0
      257   -1.174247e+03         g        16         1
      258   -7.766337e+02         h        16         1
      259   -5.758060e+02         g        16         2
      260   -4.177360e+02         h        16         2
      261   -3.796442e+02         g        16         3
      262    5.476514e+02         h        16         3
      263   -2.786242e+02         g        16         4
      264   -2.701738e+02         h        16         4
      265   -7.820349e+02         g        16         5
      266    1.598912e+02         h        16         5
      267   -2.373997e+02         g        16         6
      268    4.280306e+02         h        16         6
      269    7.542992e+01         g        16         7
      270    2.022498e+02         h        16         7
      271   -7.218771e+02         g        16         8
      272   -6.551131e+01         h        16         8
      273   -3.116685e+02         g        16         9
      274    4.088640e+02         h        16         9
      275    5.955442e+00         g        16        10
      276    5.344783e+01         h        16        10
      277   -3.043054e+02         g        16        11
      278    8.083722e+01         h        16        11
      279   -1.064590e+02         g        16        12
      280    2.102679e+02         h        16        12
      281   -6.438503e+01         g        16        13
      282   -1.091972e+02         h        16        13
      283   -3.747665e+01         g        16        14
      284   -5.354918e+01         h        16        14
      285   -6.865811e+01         g        16        15
      286   -1.214178e+02         h        16        15
      287    9.476390e+01         g        16        16
      288   -3.736940e+01         h        16        16
      289   -9.037645e+02         g        17         0
      290   -1.765118e+02         g        17         1
      291    3.451626e+02         h        17         1
      292   -1.841747e+01         g        17         2
      293   -1.388695e+02         h        17         2
      294    7.588218e+01         g        17         3
      295    2.015547e+02         h        17         3
      296    2.950966e+02         g        17         4
      297    5.431134e+01         h        17         4
      298   -4.542700e+02         g        17         5
      299    4.984568e+02         h        17         5
      300    4.146408e+02         g        17         6
      301    3.364298e+02         h        17         6
      302    3.171904e+02         g        17         7
      303    1.230423e+02         h        17         7
      304   -3.239963e+02         g        17         8
      305    2.777293e+02         h        17         8
      306    1.281979e+02         g        17         9
      307    6.039937e+02         h        17         9
      308    2.101640e+02         g        17        10
      309    5.359692e+01         h        17        10
      310   -3.565515e+01         g        17        11
      311    2.423566e+02         h        17        11
      312   -2.586564e+01         g        17        12
      313    2.894521e+02         h        17        12
      314    8.300440e+01         g        17        13
      315    9.540759e+01         h        17        13
      316   -5.811690e+01         g        17        14
      317    3.593633e+01         h        17        14
      318   -1.161622e+00         g        17        15
      319   -7.016211e+00         h        17        15
      320   -8.523952e+01         g        17        16
      321    1.739924e+01         h        17        16
      322   -3.033379e+00         g        17        17
      323   -8.069066e+01         h        17        17
      324   -4.708168e+02         g        18         0
      325    5.207733e+02         g        18         1
      326    6.778944e+02         h        18         1
      327    3.998524e+02         g        18         2
      328   -2.288422e+02         h        18         2
      329    3.910289e+02         g        18         3
      330   -3.011629e+02         h        18         3
      331    5.135565e+02         g        18         4
      332   -1.099755e+02         h        18         4
      333    3.884302e+01         g        18         5
      334    1.106137e+02         h        18         5
      335    5.305437e+02         g        18         6
      336   -2.832932e+02         h        18         6
      337    1.920553e+02         g        18         7
      338   -2.776809e+02         h        18         7
      339    7.950332e+01         g        18         8
      340    1.711881e+01         h        18         8
      341    2.537676e+02         g        18         9
      342    1.976579e+02         h        18         9
      343    2.962237e+02         g        18        10
      344   -2.619316e+02         h        18        10
      345    7.774560e+01         g        18        11
      346    6.363178e+01         h        18        11
      347    1.508168e+02         g        18        12
      348    2.958625e+01         h        18        12
      349    1.157087e+02         g        18        13
      350    5.152637e+01         h        18        13
      351    8.924768e+01         g        18        14
      352   -6.491877e+01         h        18        14
      353    4.620221e+01         g        18        15
      354    1.045112e+01         h        18        15
      355   -1.232551e+01         g        18        16
      356   -2.563080e+01         h        18        16
      357   -9.037395e-01         g        18        17
      358    5.475752e+01         h        18        17
      359   -6.243556e+01         g        18        18
      360   -1.380103e+01         h        18        18
      361    6.929045e+01         g        19         0
      362    5.135874e+02         g        19         1
      363    2.267386e+02         h        19         1
      364    2.020071e+02         g        19         2
      365   -3.491961e+02         h        19         2
