      IND             SHC     g | h         n         m
        1    4.790165e+05         g         1         0
        2   -8.314843e+04         g         1         1
        3    2.438040e+04         h         1         1
        4    1.503075e+04         g         2         0
        5   -6.976640e+04         g         2         1
        6   -5.251630e+04         h         2         1
        7    5.908078e+04         g         2         2
        8    2.515873e+04         h         2         2
        9    3.750030e+03         g         3         0
       10   -4.818107e+04         g         3         1
       11   -4.232933e+04         h         3         1
       12    1.970686e+04         g         3         2
       13    5.485392e+04         h         3         2
       14   -1.657116e+03         g         3         3
       15   -3.551286e+04         h         3         3
       16   -4.577727e+04         g         4         0
       17   -1.138773e+04         g         4         1
       18    4.304796e+04         h         4         1
       19   -3.653945e+03         g         4         2
       20    3.789584e+04         h         4         2
       21   -1.462722e+04         g         4         3
       22   -1.087580e+03         h         4         3
       23   -2.442957e+04         g         4         4
       24   -2.095232e+03         h         4         4
       25   -2.708789e+04         g         5         0
       26    6.206132e+03         g         5         1
       27    6.637006e+04         h         5         1
       28    2.354934e+04         g         5         2
       29   -1.932648e+03         h         5         2
       30   -2.495752e+04         g         5         3
       31    8.354655e+03         h         5         3
       32   -3.726104e+03         g         5         4
       33    1.506198e+04         h         5         4
       34   -7.318702e+03         g         5         5
       35    1.438265e+04         h         5         5
       36   -2.950348e+04         g         6         0
       37    1.369549e+04         g         6         1
       38    1.884646e+04         h         6         1
       39    1.830006e+04         g         6         2
       40   -1.366147e+04         h         6         2
       41   -1.868409e+04         g         6         3
       42   -7.464734e+02         h         6         3
       43    3.730723e+03         g         6         4
       44    2.087155e+04         h         6         4
       45    2.074162e+03         g         6         5
       46   -5.413048e+03         h         6         5
       47    1.200831e+04         g         6         6
       48    7.394412e+03         h         6         6
       49   -2.427128e+03         g         7         0
       50    9.649991e+03         g         7         1
       51   -9.200050e+03         h         7         1
       52   -1.068128e+04         g         7         2
       53   -1.984425e+04         h         7         2
       54   -2.824549e+03         g         7         3
       55    3.005863e+03         h         7         3
       56   -1.089643e+04         g         7         4
       57    8.719411e+03         h         7         4
       58    5.416588e+03         g         7         5
       59   -1.061658e+04         h         7         5
       60   -3.744110e+03         g         7         6
       61   -3.129924e+03         h         7         6
       62    6.063028e+03         g         7         7
       63   -9.114646e+03         h         7         7
       64    2.224009e+04         g         8         0
       65    2.096406e+02         g         8         1
       66   -6.815302e+03         h         8         1
       67   -1.237460e+04         g         8         2
       68   -1.950349e+04         h         8         2
       69    2.349319e+02         g         8         3
       70    1.687786e+04         h         8         3
       71   -8.013777e+03         g         8         4
       72   -2.894648e+03         h         8         4
       73   -2.881831e+03         g         8         5
       74    3.970691e+03         h         8         5
       75   -7.208977e+03         g         8         6
       76   -5.511033e+03         h         8         6
       77   -2.293053e+03         g         8         7
       78    1.567145e+03         h         8         7
       79   -5.163011e+03         g         8         8
       80   -5.376046e+03         h         8         8
       81    1.244537e+04         g         9         0
       82   -3.978069e+03         g         9         1
       83   -1.142014e+04         h         9         1
       84    2.067373e+03         g         9         2
       85   -3.539691e+03         h         9         2
       86    1.282174e+03         g         9         3
       87    1.099556e+04         h         9         3
       88    6.258645e+03         g         9         4
       89   -2.121900e+03         h         9         4
       90   -4.877285e+03         g         9         5
       91    6.223819e+03         h         9         5
       92    2.825245e+03         g         9         6
       93   -3.138070e+02         h         9         6
       94   -2.825576e+03         g         9         7
       95    3.308615e+03         h         9         7
       96    2.515022e+03         g         9         8
       97    1.453972e+03         h         9         8
       98   -4.188889e+03         g         9         9
       99    3.233744e+03         h         9         9
      100   -8.639463e+02         g        10         0
      101    1.606970e+03         g        10         1
      102   -1.181745e+04         h        10         1
      103    3.402827e+03         g        10         2
      104    1.041220e+04         h        10         2
      105    7.696454e+03         g        10         3
      106   -4.263428e+03         h        10         3
      107    7.367926e+03         g        10         4
      108   -2.824069e+03         h        10         4
      109    7.387592e+02         g        10         5
      110   -6.718697e+02         h        10         5
      111    3.625716e+03         g        10         6
      112   -1.466470e+03         h        10         6
      113    1.538031e+03         g        10         7
      114   -2.888178e+03         h        10         7
      115    4.675671e+03         g        10         8
