      IND             SHC     g | h         n         m
      182   -9.507000e+02         g        13         7
      183    1.214200e+03         h        13         7
      184    1.042300e+03         g        13         8
      185    1.961000e+02         h        13         8
      186   -6.418000e+02         g        13         9
      187   -2.077000e+02         h        13         9
      188    4.160000e+01         g        13        10
      189    1.195700e+03         h        13        10
      190   -2.291000e+02         g        13        11
      191    4.724000e+02         h        13        11
      192   -4.030000e+01         g        13        12
      193    7.216000e+02         h        13        12
      194   -2.878000e+02         g        13        13
      195    5.130000e+01         h        13        13
      196    1.164600e+03         g        14         0
      197   -2.478000e+03         g        14         1
      198   -8.478000e+02         h        14         1
      199    9.077000e+02         g        14         2
      200   -1.249000e+02         h        14         2
      201   -1.280700e+03         g        14         3
      202    1.088000e+02         h        14         3
      203    1.485000e+02         g        14         4
      204    1.456200e+03         h        14         4
      205    1.468800e+03         g        14         5
      206   -1.284600e+03         h        14         5
      207   -8.100000e+00         g        14         6
      208    8.965000e+02         h        14         6
      209    6.045000e+02         g        14         7
      210    2.370000e+02         h        14         7
      211    7.872000e+02         g        14         8
      212    2.258000e+02         h        14         8
      213    3.277000e+02         g        14         9
      214   -8.090000e+01         h        14         9
      215    1.116000e+02         g        14        10
      216    6.969000e+02         h        14        10
      217    2.452000e+02         g        14        11
      218    3.265000e+02         h        14        11
      219    1.273000e+02         g        14        12
      220    2.259000e+02         h        14        12
      221    4.259000e+02         g        14        13
      222    7.100000e+01         h        14        13
      223    6.300000e+00         g        14        14
      224    1.244000e+02         h        14        14
      225    4.694000e+02         g        15         0
      226   -1.929200e+03         g        15         1
      227   -1.146400e+03         h        15         1
      228   -3.870000e+01         g        15         2
      229   -5.804000e+02         h        15         2
      230   -8.159000e+02         g        15         3
      231    5.273000e+02         h        15         3
      232   -7.757000e+02         g        15         4
      233    1.200000e+02         h        15         4
      234    3.100000e+01         g        15         5
      235   -4.789000e+02         h        15         5
      236   -1.499000e+02         g        15         6
      237    1.484000e+02         h        15         6
      238    3.182000e+02         g        15         7
      239    4.570000e+01         h        15         7
      240   -2.983000e+02         g        15         8
      241   -8.825000e+02         h        15         8
      242   -1.493000e+02         g        15         9
      243   -2.066000e+02         h        15         9
      244    2.414000e+02         g        15        10
      245   -7.490000e+01         h        15        10
