      IND             SHC     g | h         n         m
      182   -8.923730e+02         g        13         7
      183    1.171967e+03         h        13         7
      184    1.019813e+03         g        13         8
      185    4.332809e+02         h        13         8
      186   -6.239732e+02         g        13         9
      187   -1.801407e+02         h        13         9
      188   -2.313878e+01         g        13        10
      189    1.192225e+03         h        13        10
      190   -1.864238e+02         g        13        11
      191    5.102003e+02         h        13        11
      192   -6.878239e+01         g        13        12
      193    7.179124e+02         h        13        12
      194   -3.003300e+02         g        13        13
      195    2.248331e+01         h        13        13
      196    1.279188e+03         g        14         0
      197   -1.860084e+03         g        14         1
      198   -1.056610e+02         h        14         1
      199    8.495423e+02         g        14         2
      200   -3.028223e+01         h        14         2
      201   -1.304598e+03         g        14         3
      202    1.141797e+02         h        14         3
      203   -3.555760e+01         g        14         4
      204    1.603035e+03         h        14         4
      205    1.282675e+03         g        14         5
      206   -1.083174e+03         h        14         5
      207    1.798845e+02         g        14         6
      208    7.452158e+02         h        14         6
      209    6.777018e+02         g        14         7
      210    2.965188e+02         h        14         7
      211    8.119954e+02         g        14         8
      212   -1.547873e+02         h        14         8
      213    2.841570e+02         g        14         9
      214   -1.663395e+02         h        14         9
      215    2.066940e+02         g        14        10
      216    5.629446e+02         h        14        10
      217    3.151084e+02         g        14        11
      218    3.699023e+02         h        14        11
      219    2.568264e+02         g        14        12
      220    1.909608e+02         h        14        12
      221    3.705258e+02         g        14        13
      222    1.664272e+02         h        14        13
      223   -4.161353e+01         g        14        14
      224    1.428281e+02         h        14        14
      225    8.003767e+02         g        15         0
      226   -1.540529e+03         g        15         1
      227   -1.481649e+03         h        15         1
      228   -2.240600e+02         g        15         2
      229   -3.959737e+02         h        15         2
      230   -5.045041e+02         g        15         3
      231    5.125364e+02         h        15         3
      232   -5.528884e+02         g        15         4
      233   -1.665678e+02         h        15         4
      234    1.512494e+02         g        15         5
      235   -7.973260e+02         h        15         5
      236   -3.365906e+02         g        15         6
      237    1.265419e+02         h        15         6
      238    2.855408e+02         g        15         7
      239    7.962494e+01         h        15         7
      240   -2.159036e+02         g        15         8
      241   -7.311767e+02         h        15         8
      242   -2.357723e+02         g        15         9
      243   -1.255528e+02         h        15         9
      244    2.313133e+02         g        15        10
      245    3.223017e+01         h        15        10
      246   -1.389732e+02         g        15        11
      247    5.928330e+01         h        15        11
      248    2.759837e+02         g        15        12
      249    5.429460e+01         h        15        12
      250   -5.207796e+01         g        15        13
      251   -1.652178e+02         h        15        13
      252    1.795604e+02         g        15        14
      253   -2.127447e+02         h        15        14
      254   -2.887691e+01         g        15        15
      255    1.137640e+02         h        15        15
      256   -3.503374e+02         g        16         0
      257   -6.601190e+02         g        16         1
      258   -9.543138e+02         h        16         1
      259   -5.361739e+02         g        16         2
      260   -1.769522e+02         h        16         2
      261   -3.847601e+02         g        16         3
      262    5.815142e+02         h        16         3
      263   -4.800214e+02         g        16         4
      264   -1.867857e+02         h        16         4
      265   -7.328320e+02         g        16         5
      266    2.094093e+02         h        16         5
      267   -1.233364e+02         g        16         6
      268    4.170473e+02         h        16         6
      269    4.984751e+01         g        16         7
      270    2.626721e+02         h        16         7
      271   -6.618674e+02         g        16         8
      272   -2.418376e+00         h        16         8
      273   -3.199262e+02         g        16         9
      274    3.485229e+02         h        16         9
      275   -2.031623e+01         g        16        10
      276    2.837741e+02         h        16        10
      277   -3.106634e+02         g        16        11
      278    8.867987e+01         h        16        11
      279   -8.936732e+01         g        16        12
      280    3.329907e+02         h        16        12
      281   -9.816922e+00         g        16        13
      282   -1.716912e+02         h        16        13
      283   -1.545000e+02         g        16        14
      284    5.740776e+01         h        16        14
      285   -6.608958e+01         g        16        15
      286   -2.123745e+02         h        16        15
      287    8.779449e+01         g        16        16
      288   -2.981012e+01         h        16        16
      289   -6.267788e+02         g        17         0
      290    3.144160e+01         g        17         1
      291    1.512070e+02         h        17         1
      292   -5.054963e+01         g        17         2
      293    8.868428e+01         h        17         2
      294   -5.949394e+01         g        17         3
      295    2.353544e+02         h        17         3
      296    1.580104e+02         g        17         4
      297    1.735123e+02         h        17         4
      298   -3.163845e+02         g        17         5
      299    5.317029e+02         h        17         5
      300    4.249428e+02         g        17         6
      301    2.499960e+02         h        17         6
      302    4.172873e+02         g        17         7
      303    1.044988e+02         h        17         7
      304   -3.015248e+02         g        17         8
      305    2.174716e+02         h        17         8
      306    1.504597e+02         g        17         9
      307    6.573986e+02         h        17         9
      308    1.295232e+02         g        17        10
      309    1.554709e+02         h        17        10
      310   -2.274135e+01         g        17        11
      311    3.191064e+02         h        17        11
      312   -4.598493e+01         g        17        12
      313    3.000145e+02         h        17        12
      314    1.204322e+02         g        17        13
      315    1.017662e+02         h        17        13
      316   -1.050681e+02         g        17        14
      317   -3.274845e+01         h        17        14
      318    9.577946e+01         g        17        15
      319    8.284567e+01         h        17        15
      320   -2.997235e+01         g        17        16
      321   -3.053999e+00         h        17        16
      322    8.548460e-03         g        17        17
      323   -2.210900e-02         h        17        17
      324   -2.495793e+02         g        18         0
      325    4.078131e+02         g        18         1
      326    5.426927e+02         h        18         1
      327    2.767643e+02         g        18         2
      328   -1.163704e+02         h        18         2
      329    2.992119e+02         g        18         3
      330   -2.581120e+02         h        18         3
      331    3.833202e+02         g        18         4
      332   -6.983428e+01         h        18         4
      333    3.433074e+01         g        18         5
      334    1.488855e+02         h        18         5
      335    4.760425e+02         g        18         6
      336   -3.335175e+02         h        18         6
      337    2.062582e+02         g        18         7
      338   -2.604781e+02         h        18         7
      339    8.124526e+01         g        18         8
      340   -1.052516e+02         h        18         8
      341    1.723564e+02         g        18         9
      342    3.310076e+02         h        18         9
      343    3.199874e+02         g        18        10
      344   -2.150968e+02         h        18        10
      345    1.575107e+01         g        18        11
      346    1.390965e+02         h        18        11
      347    1.604349e+02         g        18        12
      348    4.478737e+01         h        18        12
      349    3.504354e+01         g        18        13
      350    8.657617e+01         h        18        13
      351    8.749428e+01         g        18        14
      352   -4.647402e+01         h        18        14
      353   -3.099342e+01         g        18        15
      354   -2.372209e+01         h        18        15
      355    8.274225e+00         g        18        16
      356    8.733959e+01         h        18        16
      357    6.489467e-03         g        18        17
      358    1.965417e-03         h        18        17
      359   -1.413299e-02         g        18        18
      360   -3.541003e-03         h        18        18
      361    5.629446e+01         g        19         0
      362    3.492551e+02         g        19         1
      363    1.752058e+02         h        19         1
      364    1.012880e+02         g        19         2
      365   -2.493281e+02         h        19         2
      366    2.077290e+02         g        19         3
      367   -3.476632e+02         h        19         3
      368    5.741543e+01         g        19         4
      369   -1.634880e+02         h        19         4
      370   -4.828647e+01         g        19         5
      371   -1.085983e+02         h        19         5
      372    6.345895e+01         g        19         6
      373   -3.540165e+02         h        19         6
      374   -2.949420e+02         g        19         7
      375   -3.046716e+02         h        19         7
      376    1.015954e+02         g        19         8
      377   -3.381439e+01         h        19         8
      378   -8.944081e+01         g        19         9
      379   -8.477274e+01         h        19         9
      380    1.059195e+02         g        19        10
      381   -2.169527e+02         h        19        10
      382   -9.760683e+01         g        19        11
      383   -1.259181e+02         h        19        11
