      IND             SHC     g | h         n         m
        1    6.691320e+05         g         1         0
        2   -1.161323e+05         g         1         1
        3    3.438472e+04         h         1         1
        4    2.255470e+04         g         2         0
        5   -1.091557e+05         g         2         1
        6   -8.180782e+04         h         2         1
        7    9.249445e+04         g         2         2
        8    3.871691e+04         h         2         2
        9    6.246953e+03         g         3         0
       10   -8.427276e+04         g         3         1
       11   -7.377513e+04         h         3         1
       12    3.461164e+04         g         3         2
       13    9.552221e+04         h         3         2
       14   -3.657629e+03         g         3         3
       15   -6.192791e+04         h         3         3
       16   -9.052365e+04         g         4         0
       17   -2.181815e+04         g         4         1
       18    8.452303e+04         h         4         1
       19   -6.902521e+03         g         4         2
       20    7.373136e+04         h         4         2
       21   -2.853403e+04         g         4         3
       22   -1.712384e+03         h         4         3
       23   -4.778968e+04         g         4         4
       24   -3.342870e+03         h         4         4
       25   -5.939612e+04         g         5         0
       26    1.446521e+04         g         5         1
       27    1.441824e+05         h         5         1
       28    5.159556e+04         g         5         2
       29   -4.327310e+03         h         5         2
       30   -5.443703e+04         g         5         3
       31    1.860260e+04         h         5         3
       32   -7.907855e+03         g         5         4
       33    3.290437e+04         h         5         4
       34   -1.530782e+04         g         5         5
       35    3.159546e+04         h         5         5
       36   -7.370887e+04         g         6         0
       37    3.413858e+04         g         6         1
       38    4.680490e+04         h         6         1
       39    4.420916e+04         g         6         2
       40   -3.378471e+04         h         6         2
       41   -4.498921e+04         g         6         3
       42   -8.699500e+02         h         6         3
       43    9.671672e+03         g         6         4
       44    5.063714e+04         h         6         4
       45    5.243735e+03         g         6         5
       46   -1.351769e+04         h         6         5
       47    2.980994e+04         g         6         6
       48    1.736513e+04         h         6         6
       49   -8.370826e+03         g         7         0
       50    2.710785e+04         g         7         1
       51   -2.649532e+04         h         7         1
       52   -2.893973e+04         g         7         2
       53   -5.376055e+04         h         7         2
       54   -8.432799e+03         g         7         3
       55    8.587928e+03         h         7         3
       56   -2.988743e+04         g         7         4
       57    2.340544e+04         h         7         4
       58    1.405078e+04         g         7         5
       59   -2.874968e+04         h         7         5
       60   -1.080871e+04         g         7         6
       61   -8.425235e+03         h         7         6
       62    1.570946e+04         g         7         7
       63   -2.543733e+04         h         7         7
       64    6.371964e+04         g         8         0
       65    1.594509e+03         g         8         1
       66   -2.015648e+04         h         8         1
       67   -3.800764e+04         g         8         2
       68   -5.920063e+04         h         8         2
       69    1.608525e+03         g         8         3
       70    5.273697e+04         h         8         3
       71   -2.452507e+04         g         8         4
       72   -8.919690e+03         h         8         4
       73   -8.288725e+03         g         8         5
       74    1.164395e+04         h         8         5
       75   -2.203918e+04         g         8         6
       76   -1.653355e+04         h         8         6
       77   -6.799174e+03         g         8         7
       78    4.882229e+03         h         8         7
       79   -1.576060e+04         g         8         8
       80   -1.569424e+04         h         8         8
       81    3.766576e+04         g         9         0
       82   -1.304994e+04         g         9         1
       83   -3.959512e+04         h         9         1
       84    7.218495e+03         g         9         2
       85   -1.214546e+04         h         9         2
       86    4.537099e+03         g         9         3
       87    3.894878e+04         h         9         3
       88    2.127189e+04         g         9         4
       89   -8.251391e+03         h         9         4
       90   -1.620412e+04         g         9         5
       91    2.206999e+04         h         9         5
       92    9.000821e+03         g         9         6
       93   -1.261219e+03         h         9         6
       94   -9.199156e+03         g         9         7
       95    1.115249e+04         h         9         7
       96    8.560695e+03         g         9         8
       97    5.105638e+03         h         9         8
       98   -1.350004e+04         g         9         9
       99    1.116303e+04         h         9         9
      100   -9.797360e+03         g        10         0
      101    6.671786e+03         g        10         1
      102   -4.601335e+04         h        10         1
      103    1.388590e+04         g        10         2
      104    3.926552e+04         h        10         2
      105    2.939791e+04         g        10         3
      106   -1.466594e+04         h        10         3
      107    2.859022e+04         g        10         4
      108   -1.136060e+04         h        10         4
      109    2.658280e+03         g        10         5
      110   -2.137907e+03         h        10         5
      111    1.371499e+04         g        10         6
      112   -5.912257e+03         h        10         6
      113    5.818357e+03         g        10         7
      114   -1.106517e+04         h        10         7
      115    1.777218e+04         g        10         8
      116    3.130359e+03         h        10         8
      117    6.209155e+03         g        10         9
      118   -5.356949e+03         h        10         9
      119    7.931075e+03         g        10        10
      120    1.128995e+04         h        10        10
      121   -1.305238e+03         g        11         0
      122    2.928737e+04         g        11         1
      123    4.482652e+03         h        11         1
      124   -9.903292e+03         g        11         2
      125    4.004015e+04         h        11         2
      126    3.465186e+04         g        11         3
      127   -3.310041e+04         h        11         3
      128    3.128378e+03         g        11         4
      129   -2.580377e+04         h        11         4
      130    3.715244e+03         g        11         5
