      IND             SHC     g | h         n         m
        1    4.109156e+05         g         1         0
        2   -7.132745e+04         g         1         1
        3    2.108054e+04         h         1         1
        4    1.180974e+04         g         2         0
        5   -5.699641e+04         g         2         1
        6   -4.268984e+04         h         2         1
        7    4.826627e+04         g         2         2
        8    2.023456e+04         h         2         2
        9    2.765514e+03         g         3         0
       10   -3.738846e+04         g         3         1
       11   -3.275836e+04         h         3         1
       12    1.538240e+04         g         3         2
       13    4.241086e+04         h         3         2
       14   -1.620100e+03         g         3         3
       15   -2.748320e+04         h         3         3
       16   -3.414611e+04         g         4         0
       17   -8.235831e+03         g         4         1
       18    3.188531e+04         h         4         1
       19   -2.609118e+03         g         4         2
       20    2.781166e+04         h         4         2
       21   -1.074694e+04         g         4         3
       22   -6.350466e+02         h         4         3
       23   -1.801768e+04         g         4         4
       24   -1.267798e+03         h         4         4
       25   -1.903572e+04         g         5         0
       26    4.640756e+03         g         5         1
       27    4.619793e+04         h         5         1
       28    1.656159e+04         g         5         2
       29   -1.378627e+03         h         5         2
       30   -1.744662e+04         g         5         3
       31    5.955730e+03         h         5         3
       32   -2.548728e+03         g         5         4
       33    1.054133e+04         h         5         4
       34   -4.900961e+03         g         5         5
       35    1.012886e+04         h         5         5
       36   -2.009077e+04         g         6         0
       37    9.304263e+03         g         6         1
       38    1.275392e+04         h         6         1
       39    1.206004e+04         g         6         2
       40   -9.230208e+03         h         6         2
       41   -1.225856e+04         g         6         3
       42   -2.275228e+02         h         6         3
       43    2.651837e+03         g         6         4
       44    1.379788e+04         h         6         4
       45    1.420428e+03         g         6         5
       46   -3.695036e+03         h         6         5
       47    8.098988e+03         g         6         6
       48    4.729058e+03         h         6         6
       49   -1.919855e+03         g         7         0
       50    6.263149e+03         g         7         1
       51   -6.150627e+03         h         7         1
       52   -6.714610e+03         g         7         2
       53   -1.245138e+04         h         7         2
       54   -1.974090e+03         g         7         3
       55    1.994988e+03         h         7         3
       56   -6.946647e+03         g         7         4
       57    5.413180e+03         h         7         4
       58    3.249998e+03         g         7         5
       59   -6.636799e+03         h         7         5
       60   -2.477544e+03         g         7         6
       61   -1.931184e+03         h         7         6
       62    3.631135e+03         g         7         7
       63   -5.914335e+03         h         7         7
       64    1.253953e+04         g         8         0
       65    2.949173e+02         g         8         1
       66   -3.938086e+03         h         8         1
       67   -7.474396e+03         g         8         2
       68   -1.166945e+04         h         8         2
       69    3.407354e+02         g         8         3
       70    1.039335e+04         h         8         3
       71   -4.821970e+03         g         8         4
       72   -1.728436e+03         h         8         4
       73   -1.613645e+03         g         8         5
       74    2.273492e+03         h         8         5
       75   -4.355850e+03         g         8         6
       76   -3.263908e+03         h         8         6
       77   -1.381643e+03         g         8         7
       78    9.926843e+02         h         8         7
       79   -3.058859e+03         g         8         8
       80   -3.129150e+03         h         8         8
       81    6.310439e+03         g         9         0
       82   -2.203348e+03         g         9         1
       83   -6.639428e+03         h         9         1
       84    1.198037e+03         g         9         2
       85   -2.023771e+03         h         9         2
       86    7.227093e+02         g         9         3
       87    6.515393e+03         h         9         3
       88    3.548199e+03         g         9         4
       89   -1.401441e+03         h         9         4
       90   -2.709070e+03         g         9         5
       91    3.721268e+03         h         9         5
       92    1.480809e+03         g         9         6
       93   -1.855406e+02         h         9         6
       94   -1.501625e+03         g         9         7
       95    1.870545e+03         h         9         7
       96    1.360047e+03         g         9         8
       97    8.885627e+02         h         9         8
       98   -2.270802e+03         g         9         9
       99    1.865484e+03         h         9         9
      100   -1.361091e+03         g        10         0
      101    9.484089e+02         g        10         1
      102   -6.521425e+03         h        10         1
      103    1.958953e+03         g        10         2
      104    5.626215e+03         h        10         2
      105    4.225788e+03         g        10         3
      106   -2.081595e+03         h        10         3
      107    4.031620e+03         g        10         4
      108   -1.566879e+03         h        10         4
      109    3.832224e+02         g        10         5
      110   -3.238807e+02         h        10         5
      111    1.982362e+03         g        10         6
      112   -8.155955e+02         h        10         6
      113    7.835064e+02         g        10         7
      114   -1.583895e+03         h        10         7
      115    2.517061e+03         g        10         8
      116    4.707592e+02         h        10         8
      117    8.618905e+02         g        10         9
      118   -7.888716e+02         h        10         9
      119    1.156727e+03         g        10        10
      120    1.571930e+03         h        10        10
      121   -1.462726e+02         g        11         0
      122    3.555154e+03         g        11         1
      123    5.236077e+02         h        11         1
      124   -1.161950e+03         g        11         2
      125    4.831946e+03         h        11         2
      126    4.170204e+03         g        11         3
      127   -3.987575e+03         h        11         3
      128    3.683874e+02         g        11         4
      129   -3.120738e+03         h        11         4
      130    4.434706e+02         g        11         5
      131   -3.638328e+02         h        11         5
      132   -1.079750e+03         g        11         6
      133   -2.756295e+03         h        11         6
      134   -3.731861e+02         g        11         7
      135   -1.445367e+03         h        11         7
      136    8.120821e+02         g        11         8
      137   -1.755161e+03         h        11         8
      138    2.430214e+02         g        11         9
      139   -1.576417e+03         h        11         9
      140   -2.264844e+02         g        11        10
      141   -6.455424e+02         h        11        10
      142    1.003018e+03         g        11        11
      143   -5.378054e+02         h        11        11
      144    1.594022e+03         g        12         0
      145    1.999306e+03         g        12         1
      146    4.769851e+03         h        12         1
      147   -6.738913e+02         g        12         2
      148    1.645674e+03         h        12         2
      149    2.575582e+02         g        12         3
      150   -1.703512e+03         h        12         3
      151   -6.047022e+02         g        12         4
      152   -1.003286e+03         h        12         4
      153   -9.248266e+02         g        12         5
      154    1.148716e+03         h        12         5
      155   -1.170347e+03         g        12         6
      156   -1.175261e+03         h        12         6
      157   -1.963669e+03         g        12         7
      158    7.787946e+02         h        12         7
      159    4.560087e+02         g        12         8
      160   -8.905381e+02         h        12         8
      161   -1.386944e+03         g        12         9
      162   -5.931370e+02         h        12         9
      163   -7.035593e+02         g        12        10
      164   -9.088423e+00         h        12        10
      165   -6.394270e+02         g        12        11
      166    4.436085e+01         h        12        11
      167   -2.177086e+02         g        12        12
      168   -5.754312e+02         h        12        12
      169    5.564555e+02         g        13         0
      170   -6.917911e+02         g        13         1
      171    3.161380e+03         h        13         1
      172    1.191944e+03         g        13         2
      173    3.164775e+02         h        13         2
      174   -1.721673e+03         g        13         3
      175   -1.196742e+02         h        13         3
      176    1.498033e+01         g        13         4
      177    1.945689e+03         h        13         4
      178    2.072585e+02         g        13         5
