      IND             SHC     g | h         n         m
      182   -2.045476e+04         g        13         7
      183    3.022073e+04         h        13         7
      184    3.198544e+04         g        13         8
      185    1.117505e+04         h        13         8
      186   -1.749686e+04         g        13         9
      187   -4.739577e+03         h        13         9
      188   -3.107624e+03         g        13        10
      189    3.083006e+04         h        13        10
      190   -7.250435e+03         g        13        11
      191    1.396459e+04         h        13        11
      192   -2.268312e+03         g        13        12
      193    1.476123e+04         h        13        12
      194   -9.687218e+03         g        13        13
      195    1.582460e+02         h        13        13
      196    5.319890e+03         g        14         0
      197   -6.359374e+04         g        14         1
      198    1.922986e+03         h        14         1
      199    3.465750e+04         g        14         2
      200   -9.289357e+03         h        14         2
      201   -3.621670e+04         g        14         3
      202    1.353217e+04         h        14         3
      203   -4.816478e+03         g        14         4
      204    5.253501e+04         h        14         4
      205    4.716722e+04         g        14         5
      206   -3.532772e+04         h        14         5
      207    1.014626e+03         g        14         6
      208    2.851483e+04         h        14         6
      209    2.384052e+04         g        14         7
      210    4.268040e+03         h        14         7
      211    2.599813e+04         g        14         8
      212   -9.978441e+03         h        14         8
      213    9.547303e+03         g        14         9
      214   -1.544533e+04         h        14         9
      215    1.346538e+04         g        14        10
      216    1.586744e+04         h        14        10
      217    1.499883e+04         g        14        11
      218    7.676182e+03         h        14        11
      219    1.035483e+04         g        14        12
      220    1.063964e+04         h        14        12
      221    1.056326e+04         g        14        13
      222    3.617996e+03         h        14        13
      223   -2.123026e+03         g        14        14
      224    6.540936e+03         h        14        14
      225    3.819496e+03         g        15         0
      226   -6.959248e+04         g        15         1
      227   -6.377915e+04         h        15         1
      228   -1.265230e+04         g        15         2
      229   -2.983987e+04         h        15         2
      230   -2.130318e+04         g        15         3
      231    2.622635e+04         h        15         3
      232   -2.705432e+04         g        15         4
      233   -6.498195e+03         h        15         4
      234    1.147235e+04         g        15         5
      235   -3.532761e+04         h        15         5
      236   -2.521356e+04         g        15         6
      237    7.460906e+03         h        15         6
      238    1.674147e+04         g        15         7
      239   -6.649101e+03         h        15         7
      240   -1.527600e+04         g        15         8
      241   -3.237252e+04         h        15         8
      242   -9.182168e+03         g        15         9
      243   -1.296190e+04         h        15         9
      244    8.398797e+03         g        15        10
      245   -8.106094e+03         h        15        10
      246    9.781108e+02         g        15        11
      247   -7.522916e+03         h        15        11
      248    8.593437e+03         g        15        12
      249   -4.300092e+03         h        15        12
      250    7.108032e+03         g        15        13
      251   -7.943481e+03         h        15        13
      252    4.715361e+03         g        15        14
      253   -7.341522e+03         h        15        14
      254    3.912777e+03         g        15        15
      255    2.856855e+03         h        15        15
      256   -3.781564e+04         g        16         0
      257   -4.367382e+04         g        16         1
      258   -5.060745e+04         h        16         1
      259   -3.711655e+04         g        16         2
      260   -2.151414e+04         h        16         2
      261   -1.989041e+04         g        16         3
      262    3.261381e+04         h        16         3
      263   -2.427568e+04         g        16         4
      264   -1.871060e+04         h        16         4
      265   -4.151874e+04         g        16         5
      266    9.971880e+03         h        16         5
      267   -1.598529e+04         g        16         6
      268    2.269899e+04         h        16         6
      269    2.398472e+03         g        16         7
      270    8.851312e+03         h        16         7
      271   -3.833184e+04         g        16         8
      272   -1.857261e+03         h        16         8
      273   -2.303921e+04         g        16         9
      274    1.632380e+04         h        16         9
      275    2.204685e+03         g        16        10
      276    4.757776e+03         h        16        10
      277   -1.533388e+04         g        16        11
      278   -2.841542e+03         h        16        11
      279   -4.561692e+03         g        16        12
      280    7.276557e+03         h        16        12
      281   -5.149577e+03         g        16        13
      282   -8.682148e+03         h        16        13
      283   -4.771733e+03         g        16        14
      284   -5.567808e+03         h        16        14
      285   -4.523068e+03         g        16        15
      286   -5.639634e+03         h        16        15
      287    3.115684e+03         g        16        16
      288   -1.938604e+03         h        16        16
      289   -6.032521e+04         g        17         0
      290    1.362876e+04         g        17         1
      291    1.542492e+04         h        17         1
      292   -8.002798e+03         g        17         2
      293    1.627274e+03         h        17         2
      294    7.932892e+03         g        17         3
      295    1.315965e+04         h        17         3
      296    1.069455e+04         g        17         4
      297    4.272709e+02         h        17         4
      298   -2.712244e+04         g        17         5
      299    3.303616e+04         h        17         5
      300    2.891792e+04         g        17         6
      301    2.319705e+04         h        17         6
      302    2.118530e+04         g        17         7
      303    5.644304e+03         h        17         7
      304   -1.824778e+04         g        17         8
      305    2.399962e+04         h        17         8
      306    8.356774e+03         g        17         9
      307    2.973691e+04         h        17         9
      308    1.546411e+04         g        17        10
      309    1.128697e+04         h        17        10
      310    4.220567e+02         g        17        11
      311    6.790013e+03         h        17        11
      312   -5.685115e+01         g        17        12
      313    1.841968e+04         h        17        12
      314    7.663317e+02         g        17        13
      315    3.407796e+03         h        17        13
      316   -6.355634e+03         g        17        14
      317    3.479164e+03         h        17        14
      318   -4.368602e+03         g        17        15
      319    1.180277e+03         h        17        15
      320   -4.948871e+03         g        17        16
      321    2.133014e+03         h        17        16
      322   -4.526633e+02         g        17        17
      323   -2.908814e+03         h        17        17
      324   -1.018546e+04         g        18         0
      325    6.453985e+04         g        18         1
      326    4.261152e+04         h        18         1
      327    2.555419e+04         g        18         2
      328   -3.564280e+03         h        18         2
      329    3.467453e+04         g        18         3
      330   -2.993528e+04         h        18         3
      331    3.258315e+04         g        18         4
      332   -1.024422e+04         h        18         4
      333    6.958715e+03         g        18         5
      334    6.132407e+03         h        18         5
      335    4.298175e+04         g        18         6
      336   -2.306540e+04         h        18         6
      337    1.903482e+04         g        18         7
      338   -2.513598e+04         h        18         7
      339    2.118700e+03         g        18         8
      340    5.236364e+03         h        18         8
      341    2.858820e+04         g        18         9
      342    4.285254e+03         h        18         9
      343    1.760951e+04         g        18        10
      344   -1.578342e+04         h        18        10
      345    1.193079e+04         g        18        11
      346   -4.102937e+03         h        18        11
      347    1.084133e+04         g        18        12
      348    3.475411e+03         h        18        12
      349    7.734572e+03         g        18        13
      350    9.153262e+02         h        18        13
      351    4.006784e+03         g        18        14
      352    1.116109e+03         h        18        14
      353    1.664815e+03         g        18        15
      354    2.439592e+03         h        18        15
