      IND             SHC     g | h         n         m
        1    6.691747e+05         g         1         0
        2   -1.161091e+05         g         1         1
        3    3.437898e+04         h         1         1
        4    2.254722e+04         g         2         0
        5   -1.091121e+05         g         2         1
        6   -8.175759e+04         h         2         1
        7    9.249685e+04         g         2         2
        8    3.877236e+04         h         2         2
        9    6.232933e+03         g         3         0
       10   -8.424564e+04         g         3         1
       11   -7.379115e+04         h         3         1
       12    3.457982e+04         g         3         2
       13    9.552204e+04         h         3         2
       14   -3.657478e+03         g         3         3
       15   -6.191407e+04         h         3         3
       16   -9.052598e+04         g         4         0
       17   -2.180198e+04         g         4         1
       18    8.455597e+04         h         4         1
       19   -6.900824e+03         g         4         2
       20    7.373146e+04         h         4         2
       21   -2.853887e+04         g         4         3
       22   -1.702289e+03         h         4         3
       23   -4.777492e+04         g         4         4
       24   -3.353749e+03         h         4         4
       25   -5.940544e+04         g         5         0
       26    1.447094e+04         g         5         1
       27    1.441934e+05         h         5         1
       28    5.159089e+04         g         5         2
       29   -4.339179e+03         h         5         2
       30   -5.443663e+04         g         5         3
       31    1.858941e+04         h         5         3
       32   -7.900721e+03         g         5         4
       33    3.291607e+04         h         5         4
       34   -1.531333e+04         g         5         5
       35    3.158415e+04         h         5         5
       36   -7.372057e+04         g         6         0
       37    3.413306e+04         g         6         1
       38    4.681715e+04         h         6         1
       39    4.420248e+04         g         6         2
       40   -3.378521e+04         h         6         2
       41   -4.499029e+04         g         6         3
       42   -8.628901e+02         h         6         3
       43    9.654165e+03         g         6         4
       44    5.064155e+04         h         6         4
       45    5.251223e+03         g         6         5
       46   -1.350952e+04         h         6         5
       47    2.981452e+04         g         6         6
       48    1.736617e+04         h         6         6
       49   -8.378883e+03         g         7         0
       50    2.709292e+04         g         7         1
       51   -2.649166e+04         h         7         1
       52   -2.893746e+04         g         7         2
       53   -5.376236e+04         h         7         2
       54   -8.420492e+03         g         7         3
       55    8.603617e+03         h         7         3
       56   -2.987707e+04         g         7         4
       57    2.340946e+04         h         7         4
       58    1.405471e+04         g         7         5
       59   -2.875640e+04         h         7         5
       60   -1.081810e+04         g         7         6
       61   -8.435798e+03         h         7         6
       62    1.571360e+04         g         7         7
       63   -2.543187e+04         h         7         7
       64    6.372503e+04         g         8         0
       65    1.583286e+03         g         8         1
       66   -2.015343e+04         h         8         1
       67   -3.802006e+04         g         8         2
       68   -5.918457e+04         h         8         2
       69    1.591320e+03         g         8         3
       70    5.273898e+04         h         8         3
       71   -2.452328e+04         g         8         4
       72   -8.934077e+03         h         8         4
       73   -8.300949e+03         g         8         5
       74    1.163685e+04         h         8         5
       75   -2.203283e+04         g         8         6
       76   -1.653171e+04         h         8         6
       77   -6.792966e+03         g         8         7
       78    4.859049e+03         h         8         7
       79   -1.579076e+04         g         8         8
       80   -1.567619e+04         h         8         8
       81    3.766466e+04         g         9         0
       82   -1.304836e+04         g         9         1
       83   -3.958067e+04         h         9         1
       84    7.212509e+03         g         9         2
       85   -1.215069e+04         h         9         2
       86    4.557177e+03         g         9         3
       87    3.895462e+04         h         9         3
       88    2.128495e+04         g         9         4
       89   -8.262261e+03         h         9         4
       90   -1.620518e+04         g         9         5
       91    2.206842e+04         h         9         5
       92    9.018680e+03         g         9         6
       93   -1.276356e+03         h         9         6
       94   -9.215593e+03         g         9         7
       95    1.115360e+04         h         9         7
       96    8.599838e+03         g         9         8
       97    5.086322e+03         h         9         8
       98   -1.349293e+04         g         9         9
       99    1.116073e+04         h         9         9
      100   -9.811621e+03         g        10         0
      101    6.672476e+03         g        10         1
      102   -4.602722e+04         h        10         1
      103    1.389908e+04         g        10         2
      104    3.925208e+04         h        10         2
      105    2.937300e+04         g        10         3
      106   -1.466738e+04         h        10         3
      107    2.860084e+04         g        10         4
      108   -1.137402e+04         h        10         4
      109    2.651129e+03         g        10         5
      110   -2.123150e+03         h        10         5
      111    1.370341e+04         g        10         6
      112   -5.921008e+03         h        10         6
      113    5.838111e+03         g        10         7
      114   -1.105973e+04         h        10         7
      115    1.777516e+04         g        10         8
      116    3.124964e+03         h        10         8
      117    6.222536e+03         g        10         9
      118   -5.333376e+03         h        10         9
      119    7.912314e+03         g        10        10
      120    1.131234e+04         h        10        10
      121   -1.306927e+03         g        11         0
      122    2.927801e+04         g        11         1
      123    4.490554e+03         h        11         1
      124   -9.915699e+03         g        11         2
      125    4.004436e+04         h        11         2
      126    3.465782e+04         g        11         3
      127   -3.310748e+04         h        11         3
      128    3.128448e+03         g        11         4
      129   -2.580724e+04         h        11         4
      130    3.726170e+03         g        11         5
      131   -3.141497e+03         h        11         5
      132   -8.516286e+03         g        11         6
      133   -2.297643e+04         h        11         6
      134   -2.446848e+03         g        11         7
      135   -1.183657e+04         h        11         7
      136    6.514086e+03         g        11         8
      137   -1.459494e+04         h        11         8
      138    2.063571e+03         g        11         9
      139   -1.324788e+04         h        11         9
      140   -1.206482e+03         g        11        10
      141   -5.299556e+03         h        11        10
      142    8.152894e+03         g        11        11
      143   -4.227096e+03         h        11        11
      144    1.516356e+04         g        12         0
      145    1.939446e+04         g        12         1
      146    4.662581e+04         h        12         1
      147   -6.145608e+03         g        12         2
      148    1.586645e+04         h        12         2
      149    2.041830e+03         g        12         3
      150   -1.669082e+04         h        12         3
      151   -5.681918e+03         g        12         4
      152   -9.782183e+03         h        12         4
      153   -8.908603e+03         g        12         5
      154    1.074312e+04         h        12         5
      155   -1.156541e+04         g        12         6
      156   -1.131447e+04         h        12         6
      157   -1.900219e+04         g        12         7
      158    7.227993e+03         h        12         7
      159    4.642307e+03         g        12         8
      160   -8.451014e+03         h        12         8
      161   -1.364131e+04         g        12         9
      162   -6.108338e+03         h        12         9
      163   -6.967745e+03         g        12        10
      164   -2.582329e+02         h        12        10
      165   -6.272130e+03         g        12        11
      166    1.038013e+02         h        12        11
      167   -1.725527e+03         g        12        12
      168   -5.522931e+03         h        12        12
      169    6.446878e+03         g        13         0
      170   -8.120203e+03         g        13         1
      171    3.628655e+04         h        13         1
      172    1.392030e+04         g        13         2
      173    3.609144e+03         h        13         2
      174   -2.007332e+04         g        13         3
      175   -1.298698e+03         h        13         3
      176    3.609168e+02         g        13         4
      177    2.178652e+04         h        13         4
      178    2.635661e+03         g        13         5
      179    3.817879e+03         h        13         5
