      IND             SHC     g | h         n         m
      182   -7.258036e+02         g        13         7
      183    1.073517e+03         h        13         7
      184    1.085964e+03         g        13         8
      185    3.946585e+02         h        13         8
      186   -6.338616e+02         g        13         9
      187   -1.567910e+02         h        13         9
      188   -8.234604e+01         g        13        10
      189    1.112690e+03         h        13        10
      190   -2.837184e+02         g        13        11
      191    4.996812e+02         h        13        11
      192   -7.764655e+01         g        13        12
      193    5.115869e+02         h        13        12
      194   -3.347016e+02         g        13        13
      195    1.887109e+01         h        13        13
      196    1.105205e+02         g        14         0
      197   -1.783982e+03         g        14         1
      198    8.828622e+00         h        14         1
      199    9.662560e+02         g        14         2
      200   -2.526532e+02         h        14         2
      201   -1.047855e+03         g        14         3
      202    3.583296e+02         h        14         3
      203   -1.289481e+02         g        14         4
      204    1.485309e+03         h        14         4
      205    1.307774e+03         g        14         5
      206   -9.893572e+02         h        14         5
      207    4.563082e+01         g        14         6
      208    8.130029e+02         h        14         6
      209    6.450255e+02         g        14         7
      210    1.190995e+02         h        14         7
      211    7.011446e+02         g        14         8
      212   -2.348517e+02         h        14         8
      213    2.607930e+02         g        14         9
      214   -4.079985e+02         h        14         9
      215    3.698831e+02         g        14        10
      216    4.888106e+02         h        14        10
      217    3.886267e+02         g        14        11
      218    2.602120e+02         h        14        11
      219    2.950721e+02         g        14        12
      220    3.149420e+02         h        14        12
      221    2.964471e+02         g        14        13
      222    1.028150e+02         h        14        13
      223   -5.979918e+01         g        14        14
      224    1.870539e+02         h        14        14
      225    1.327720e+02         g        15         0
      226   -1.523064e+03         g        15         1
      227   -1.448744e+03         h        15         1
      228   -3.390442e+02         g        15         2
      229   -6.238977e+02         h        15         2
      230   -4.445704e+02         g        15         3
      231    6.105783e+02         h        15         3
      232   -6.028221e+02         g        15         4
      233   -1.666388e+02         h        15         4
      234    2.521997e+02         g        15         5
      235   -7.567932e+02         h        15         5
      236   -5.811744e+02         g        15         6
      237    1.750750e+02         h        15         6
      238    3.733436e+02         g        15         7
      239   -1.581728e+02         h        15         7
      240   -3.426136e+02         g        15         8
      241   -6.816444e+02         h        15         8
      242   -1.858018e+02         g        15         9
      243   -2.869978e+02         h        15         9
      244    2.024527e+02         g        15        10
      245   -1.396378e+02         h        15        10
      246   -1.073336e+01         g        15        11
      247   -1.078251e+02         h        15        11
      248    2.276456e+02         g        15        12
      249   -4.593431e+01         h        15        12
      250    1.335968e+02         g        15        13
      251   -1.727795e+02         h        15        13
      252    1.199183e+02         g        15        14
      253   -1.689740e+02         h        15        14
      254    8.853980e+01         g        15        15
      255    7.464509e+01         h        15        15
      256   -6.443305e+02         g        16         0
      257   -7.046363e+02         g        16         1
      258   -9.176168e+02         h        16         1
      259   -6.865037e+02         g        16         2
      260   -3.991261e+02         h        16         2
      261   -2.960871e+02         g        16         3
      262    6.548951e+02         h        16         3
      263   -4.305377e+02         g        16         4
      264   -3.113985e+02         h        16         4
      265   -7.697263e+02         g        16         5
      266    2.116635e+02         h        16         5
      267   -2.967152e+02         g        16         6
      268    3.982562e+02         h        16         6
      269    5.502519e+01         g        16         7
      270    1.418856e+02         h        16         7
      271   -7.209715e+02         g        16         8
      272   -1.917688e+01         h        16         8
      273   -3.808841e+02         g        16         9
      274    2.771557e+02         h        16         9
      275    2.812343e+01         g        16        10
      276    1.145075e+02         h        16        10
      277   -2.815836e+02         g        16        11
      278   -3.772579e+01         h        16        11
      279   -6.668791e+01         g        16        12
      280    2.277976e+02         h        16        12
      281   -8.954254e+01         g        16        13
      282   -1.812823e+02         h        16        13
      283   -7.053032e+01         g        16        14
      284   -7.760440e+01         h        16        14
      285   -8.469176e+01         g        16        15
      286   -1.253470e+02         h        16        15
      287    7.764171e+01         g        16        16
      288   -2.769240e+01         h        16        16
      289   -9.773327e+02         g        17         0
      290    2.447605e+02         g        17         1
      291    1.971002e+02         h        17         1
      292   -8.949233e+01         g        17         2
      293   -5.677336e+01         h        17         2
      294    1.053027e+02         g        17         3
      295    2.436722e+02         h        17         3
      296    1.759636e+02         g        17         4
      297    5.607206e+01         h        17         4
      298   -4.127600e+02         g        17         5
      299    4.850554e+02         h        17         5
      300    4.345203e+02         g        17         6
      301    3.145501e+02         h        17         6
      302    3.200974e+02         g        17         7
      303    9.423896e+01         h        17         7
      304   -3.252883e+02         g        17         8
      305    3.357851e+02         h        17         8
      306    1.427369e+02         g        17         9
      307    4.858903e+02         h        17         9
      308    1.914386e+02         g        17        10
      309    1.522719e+02         h        17        10
      310    4.409748e+01         g        17        11
      311    1.274309e+02         h        17        11
      312   -3.122371e+01         g        17        12
      313    3.405879e+02         h        17        12
      314    7.432246e+01         g        17        13
      315    4.915438e+01         h        17        13
      316   -1.097497e+02         g        17        14
      317    4.925911e+01         h        17        14
      318   -4.316734e+01         g        17        15
      319   -1.159970e+01         h        17        15
      320   -8.955778e+01         g        17        16
      321    3.624312e+01         h        17        16
      322    1.719917e+00         g        17        17
      323   -6.955416e+01         h        17        17
      324   -2.327966e+02         g        18         0
      325    7.550999e+02         g        18         1
      326    5.320596e+02         h        18         1
      327    2.923927e+02         g        18         2
      328   -9.439468e+01         h        18         2
      329    3.870848e+02         g        18         3
      330   -3.489012e+02         h        18         3
      331    4.063167e+02         g        18         4
      332   -1.258665e+02         h        18         4
      333    7.124451e+01         g        18         5
      334    5.761299e+01         h        18         5
      335    5.338466e+02         g        18         6
      336   -3.010394e+02         h        18         6
      337    2.142738e+02         g        18         7
      338   -2.823620e+02         h        18         7
      339    2.164916e+01         g        18         8
      340    4.820397e+01         h        18         8
      341    3.204479e+02         g        18         9
      342    1.359103e+02         h        18         9
      343    2.516698e+02         g        18        10
      344   -2.226657e+02         h        18        10
      345    1.648549e+02         g        18        11
      346   -8.734845e+00         h        18        11
      347    1.313482e+02         g        18        12
      348    4.549901e+01         h        18        12
      349    1.406434e+02         g        18        13
      350    5.129744e+01         h        18        13
      351    4.972083e+01         g        18        14
      352   -4.190304e+01         h        18        14
      353    1.683712e+01         g        18        15
      354    2.074119e+01         h        18        15
      355   -1.215795e+01         g        18        16
      356    1.562845e+01         h        18        16
      357    9.989015e+00         g        18        17
      358    5.571831e+01         h        18        17
      359   -5.544845e+01         g        18        18
      360   -1.600959e+01         h        18        18
      361    3.964269e+02         g        19         0
      362    5.607625e+02         g        19         1
      363    1.550390e+02         h        19         1
      364    9.825240e+01         g        19         2
      365   -1.949047e+02         h        19         2
      366    1.790381e+02         g        19         3
      367   -4.871430e+02         h        19         3
      368    1.110427e+02         g        19         4
      369   -2.398943e+02         h        19         4
      370   -2.221091e+00         g        19         5
      371   -2.125873e+02         h        19         5
      372    3.619823e+01         g        19         6
      373   -4.677232e+02         h        19         6
      374   -2.592552e+02         g        19         7
      375   -3.237465e+02         h        19         7
      376    9.222424e+00         g        19         8
      377   -3.899774e+01         h        19         8
      378    2.062042e+01         g        19         9
      379   -1.566207e+02         h        19         9
      380   -2.136827e+01         g        19        10
      381   -2.774645e+02         h        19        10
      382   -4.179282e+01         g        19        11
      383   -1.426605e+02         h        19        11
      384    4.623182e+01         g        19        12
      385   -1.094815e+02         h        19        12
      386   -1.978785e+01         g        19        13
      387   -6.566223e+01         h        19        13
      388    4.475476e+01         g        19        14
      389   -8.218191e+01         h        19        14
      390   -3.061093e+01         g        19        15
      391   -9.051721e+01         h        19        15
      392    1.937165e+01         g        19        16
      393   -1.237873e+01         h        19        16
      394    4.315413e+00         g        19        17
      395    7.360859e+00         h        19        17
      396    3.469053e+01         g        19        18
      397    5.303718e+00         h        19        18
      398   -2.024763e+01         g        19        19
      399    3.988079e+01         h        19        19
      400    3.160614e+02         g        20         0
      401    8.448735e+01         g        20         1
      402   -1.277725e+02         h        20         1
      403   -1.167764e+02         g        20         2
      404   -4.296913e+01         h        20         2
      405   -8.978372e+01         g        20         3
      406   -9.263237e+01         h        20         3
      407   -1.307600e+02         g        20         4
      408    2.476520e+01         h        20         4
      409   -4.070111e+01         g        20         5
      410   -5.714226e+01         h        20         5
      411   -2.645105e+02         g        20         6
      412   -9.044599e+01         h        20         6
      413   -3.332235e+02         g        20         7
      414    2.123822e+01         h        20         7
      415    1.273340e+01         g        20         8
      416    1.474200e+02         h        20         8
      417   -9.548007e+01         g        20         9
      418   -8.924427e+01         h        20         9
      419   -2.154129e+02         g        20        10
      420    6.448450e-01         h        20        10
      421   -8.927334e+01         g        20        11
      422   -1.867862e+01         h        20        11
      423   -7.958826e+01         g        20        12
      424   -1.994325e+01         h        20        12
      425   -8.806548e+01         g        20        13
      426   -9.625546e+00         h        20        13
      427   -5.340534e+01         g        20        14
      428    5.836741e+00         h        20        14
      429   -5.816510e+01         g        20        15
      430   -7.838776e+01         h        20        15
      431   -5.493807e+01         g        20        16
      432    2.660468e+00         h        20        16
      433   -3.063206e+00         g        20        17
      434   -2.080091e+01         h        20        17
      435    9.270478e+00         g        20        18
      436    7.813522e+00         h        20        18
      437    9.994116e+00         g        20        19
      438   -2.010102e+01         h        20        19
      439    2.818961e+01         g        20        20
      440    2.081228e+01         h        20        20
      441    6.751726e+01         g        21         0
      442   -1.781524e+02         g        21         1
      443   -1.267120e+02         h        21         1
      444   -4.015398e+01         g        21         2
      445    1.481726e+02         h        21         2
      446   -7.621539e+01         g        21         3
      447    2.358663e+02         h        21         3
      448   -4.290184e+01         g        21         4
      449    1.561342e+02         h        21         4
      450    1.447652e+02         g        21         5
      451    8.764224e+01         h        21         5
      452   -1.294272e+02         g        21         6
      453    1.524057e+02         h        21         6
      454   -2.242301e+01         g        21         7
      455    2.101933e+02         h        21         7
      456    1.565528e+02         g        21         8
      457    1.167047e+02         h        21         8
      458    3.173667e+01         g        21         9
      459    7.661203e+00         h        21         9
      460   -1.010933e+02         g        21        10
      461    1.182235e+02         h        21        10
      462    4.421721e+01         g        21        11
      463    9.434011e+01         h        21        11
      464   -1.525215e+01         g        21        12
      465    1.142506e+01         h        21        12
      466   -9.189357e+00         g        21        13
      467    7.892712e+01         h        21        13
      468   -2.228578e+01         g        21        14
      469    4.758840e+01         h        21        14
      470   -1.661346e+01         g        21        15
      471    1.115764e+01         h        21        15
      472   -5.143235e+01         g        21        16
      473    1.532037e+01         h        21        16
      474   -7.032443e-01         g        21        17
      475    2.222651e+01         h        21        17
      476   -1.101624e+01         g        21        18
      477    8.076090e+00         h        21        18
      478    9.157760e+00         g        21        19
      479   -6.487212e+00         h        21        19
      480   -9.552980e+00         g        21        20
      481   -8.321869e+00         h        21        20
      482    1.792167e+01         g        21        21
      483   -1.875250e+01         h        21        21
      484   -1.657481e+01         g        22         0
      485   -1.789701e+02         g        22         1
      486   -1.005842e+02         h        22         1
      487    6.869474e+01         g        22         2
      488    1.492111e+02         h        22         2
      489    2.554909e+01         g        22         3
      490    1.684763e+02         h        22         3
      491    6.274929e+01         g        22         4
      492    8.101577e+00         h        22         4
      493    1.641301e+02         g        22         5
      494    1.316534e+01         h        22         5
      495    3.687155e+01         g        22         6
      496    8.179250e+01         h        22         6
      497    1.387883e+02         g        22         7
      498    7.928942e+01         h        22         7
      499    1.624982e+02         g        22         8
      500   -9.502846e+01         h        22         8
      501    4.754869e+01         g        22         9
      502   -4.598847e+01         h        22         9
      503    3.983929e+01         g        22        10
      504    2.971055e+01         h        22        10
      505    6.931848e+01         g        22        11
      506    1.602097e+01         h        22        11
      507    5.805218e+01         g        22        12
      508   -5.206742e+01         h        22        12
      509    2.996666e+01         g        22        13
      510    2.637782e+01         h        22        13
      511    4.097040e+01         g        22        14
      512    3.242399e+00         h        22        14
      513    1.159154e+01         g        22        15
      514    1.378182e+01         h        22        15
      515    5.667396e+00         g        22        16
      516   -2.023720e+00         h        22        16
      517    5.722485e+00         g        22        17
      518    2.163785e+01         h        22        17
      519    1.347632e+01         g        22        18
      520    1.131417e+01         h        22        18
      521    5.034472e+00         g        22        19
      522    9.179070e+00         h        22        19
      523   -4.692697e+00         g        22        20
      524   -6.086382e+00         h        22        20
      525   -6.484217e+00         g        22        21
      526    3.618522e+00         h        22        21
      527   -1.240318e+01         g        22        22
      528   -1.369903e+01         h        22        22
      529   -5.498638e+01         g        23         0
      530   -8.843243e+01         g        23         1
      531   -6.533044e+01         h        23         1
      532    1.825783e+01         g        23         2
      533    4.927991e+01         h        23         2
      534    1.868963e+01         g        23         3
      535   -1.200396e+01         h        23         3
      536   -5.967272e+00         g        23         4
      537   -7.703189e+01         h        23         4
      538   -1.994302e+01         g        23         5
      539   -4.960084e+01         h        23         5
      540    2.288039e+01         g        23         6
      541    4.000286e+00         h        23         6
      542    5.651649e+01         g        23         7
      543   -4.716451e+01         h        23         7
      544   -1.438986e+01         g        23         8
      545   -1.419540e+02         h        23         8
      546   -5.361363e+01         g        23         9
      547   -6.055238e+01         h        23         9
      548    2.372330e+01         g        23        10
      549   -8.452677e+00         h        23        10
      550   -2.009408e+01         g        23        11
      551   -6.060749e+01         h        23        11
      552    1.706069e+00         g        23        12
      553   -4.742619e+01         h        23        12
      554   -5.817276e+00         g        23        13
      555   -4.060288e+01         h        23        13
      556    1.089544e+01         g        23        14
      557   -2.083175e+01         h        23        14
      558   -6.446545e+00         g        23        15
      559   -1.496844e+01         h        23        15
      560    8.787789e+00         g        23        16
      561   -1.643247e+01         h        23        16
      562   -5.431448e-01         g        23        17
      563   -1.036374e+01         h        23        17
      564    1.568654e+01         g        23        18
      565    4.871906e+00         h        23        18
      566    1.094787e+01         g        23        19
      567   -1.823427e+00         h        23        19
      568    5.559300e+00         g        23        20
      569    8.727792e-01         h        23        20
      570   -4.713629e+00         g        23        21
      571    2.793867e+00         h        23        21
      572    2.420591e-01         g        23        22
      573    5.442351e+00         h        23        22
      574   -1.090111e+01         g        23        23
      575    7.248481e+00         h        23        23
      576   -7.246621e+01         g        24         0
      577    6.481031e-01         g        24         1
      578    4.771976e+01         h        24         1
      579   -5.027859e+01         g        24         2
      580   -1.382876e+01         h        24         2
      581   -1.998921e+01         g        24         3
      582   -4.296689e+01         h        24         3
      583   -6.977477e+01         g        24         4
      584    1.410248e+00         h        24         4
      585   -1.069740e+02         g        24         5
      586    9.429751e+00         h        24         5
      587   -7.994399e+00         g        24         6
      588    2.541770e+01         h        24         6
      589   -1.199016e+01         g        24         7
      590   -1.513227e+01         h        24         7
      591   -1.162138e+02         g        24         8
      592   -1.968993e+01         h        24         8
      593   -6.342962e+01         g        24         9
      594    3.008429e+01         h        24         9
      595   -8.585241e+00         g        24        10
      596    3.216877e+01         h        24        10
      597   -4.720652e+01         g        24        11
      598   -1.469583e+01         h        24        11
      599   -4.942247e+01         g        24        12
      600    2.398979e+01         h        24        12
      601   -1.588357e+01         g        24        13
      602   -1.441274e+01         h        24        13
      603   -2.850510e+01         g        24        14
      604    4.686347e+00         h        24        14
      605   -1.723119e+01         g        24        15
      606    7.440145e+00         h        24        15
      607   -1.018970e+01         g        24        16
      608   -3.004345e+00         h        24        16
      609   -1.061586e+01         g        24        17
      610   -9.768190e+00         h        24        17
      611   -1.359961e+00         g        24        18
      612    1.443663e+00         h        24        18
      613    8.384463e+00         g        24        19
      614   -4.775985e+00         h        24        19
      615    2.184139e+00         g        24        20
      616   -3.272484e+00         h        24        20
      617    1.707461e+00         g        24        21
      618   -3.578698e+00         h        24        21
      619    1.463741e+00         g        24        22
      620    3.726152e+00         h        24        22
      621    3.399089e+00         g        24        23
      622    7.797821e-01         h        24        23
      623    3.875880e+00         g        24        24
      624    7.834718e+00         h        24        24
      625   -1.107552e+01         g        25         0
      626    5.252129e+01         g        25         1
      627    1.146307e+02         h        25         1
      628   -1.846857e+01         g        25         2
      629   -3.854274e+01         h        25         2
      630   -7.848076e+00         g        25         3
      631   -9.124924e+00         h        25         3
      632   -1.565159e+01         g        25         4
      633    5.302987e+01         h        25         4
      634   -3.603125e+01         g        25         5
      635    4.475041e+01         h        25         5
      636    2.903777e+01         g        25         6
      637    2.048418e+01         h        25         6
      638    9.329808e+00         g        25         7
      639    2.244252e+01         h        25         7
      640   -5.352909e+01         g        25         8
      641    5.194677e+01         h        25         8
      642    1.405580e+01         g        25         9
      643    7.075141e+01         h        25         9
      644    2.755517e+01         g        25        10
      645    2.463559e+01         h        25        10
      646    1.547077e+00         g        25        11
      647    3.318522e+01         h        25        11
      648   -1.179184e+01         g        25        12
      649    4.537670e+01         h        25        12
      650    1.544946e+01         g        25        13
      651    1.857730e+01         h        25        13
      652   -6.914001e+00         g        25        14
      653    1.707871e+01         h        25        14
