      IND             SHC     g | h         n         m
        1    5.637179e+05         g         1         0
        2   -9.782068e+04         g         1         1
        3    2.894627e+04         h         1         1
        4    1.793860e+04         g         2         0
        5   -8.681985e+04         g         2         1
        6   -6.508975e+04         h         2         1
        7    7.359523e+04         g         2         2
        8    3.082907e+04         h         2         2
        9    4.678938e+03         g         3         0
       10   -6.332328e+04         g         3         1
       11   -5.544055e+04         h         3         1
       12    2.599110e+04         g         3         2
       13    7.177609e+04         h         3         2
       14   -2.757578e+03         g         3         3
       15   -4.652705e+04         h         3         3
       16   -6.423824e+04         g         4         0
       17   -1.547998e+04         g         4         1
       18    5.999906e+04         h         4         1
       19   -4.891837e+03         g         4         2
       20    5.232603e+04         h         4         2
       21   -2.024949e+04         g         4         3
       22   -1.207860e+03         h         4         3
       23   -3.390375e+04         g         4         4
       24   -2.384463e+03         h         4         4
       25   -3.982047e+04         g         5         0
       26    9.692842e+03         g         5         1
       27    9.664286e+04         h         5         1
       28    3.458037e+04         g         5         2
       29   -2.905801e+03         h         5         2
       30   -3.648293e+04         g         5         3
       31    1.246223e+04         h         5         3
       32   -5.297287e+03         g         5         4
       33    2.206029e+04         h         5         4
       34   -1.026421e+04         g         5         5
       35    2.117670e+04         h         5         5
       36   -4.666116e+04         g         6         0
       37    2.160586e+04         g         6         1
       38    2.963475e+04         h         6         1
       39    2.797630e+04         g         6         2
       40   -2.137953e+04         h         6         2
       41   -2.847764e+04         g         6         3
       42   -5.559589e+02         h         6         3
       43    6.112956e+03         g         6         4
       44    3.204771e+04         h         6         4
       45    3.320283e+03         g         6         5
       46   -8.551373e+03         h         6         5
       47    1.888239e+04         g         6         6
       48    1.098818e+04         h         6         6
       49   -5.002605e+03         g         7         0
       50    1.620413e+04         g         7         1
       51   -1.582997e+04         h         7         1
       52   -1.730112e+04         g         7         2
       53   -3.213835e+04         h         7         2
       54   -5.034042e+03         g         7         3
       55    5.142983e+03         h         7         3
       56   -1.786121e+04         g         7         4
       57    1.399349e+04         h         7         4
       58    8.399485e+03         g         7         5
       59   -1.719500e+04         h         7         5
       60   -6.464710e+03         g         7         6
       61   -5.042340e+03         h         7         6
       62    9.395921e+03         g         7         7
       63   -1.520572e+04         h         7         7
       64    3.598537e+04         g         8         0
       65    9.068678e+02         g         8         1
       66   -1.138647e+04         h         8         1
       67   -2.145953e+04         g         8         2
       68   -3.342380e+04         h         8         2
       69    9.073370e+02         g         8         3
       70    2.977806e+04         h         8         3
       71   -1.384216e+04         g         8         4
       72   -5.040778e+03         h         8         4
       73   -4.683267e+03         g         8         5
       74    6.580544e+03         h         8         5
       75   -1.244030e+04         g         8         6
       76   -9.333475e+03         h         8         6
       77   -3.825693e+03         g         8         7
       78    2.754238e+03         h         8         7
       79   -8.903112e+03         g         8         8
       80   -8.856437e+03         h         8         8
       81    2.008588e+04         g         9         0
       82   -6.958938e+03         g         9         1
       83   -2.111302e+04         h         9         1
       84    3.847875e+03         g         9         2
       85   -6.476776e+03         h         9         2
       86    2.423937e+03         g         9         3
       87    2.076454e+04         h         9         3
       88    1.134361e+04         g         9         4
       89   -4.392752e+03         h         9         4
       90   -8.642794e+03         g         9         5
       91    1.176180e+04         h         9         5
       92    4.798650e+03         g         9         6
       93   -6.742039e+02         h         9         6
       94   -4.908723e+03         g         9         7
       95    5.944997e+03         h         9         7
       96    4.569119e+03         g         9         8
       97    2.722112e+03         h         9         8
       98   -7.197131e+03         g         9         9
       99    5.954465e+03         h         9         9
      100   -4.934315e+03         g        10         0
      101    3.362134e+03         g        10         1
      102   -2.317396e+04         h        10         1
      103    6.990377e+03         g        10         2
      104    1.977059e+04         h        10         2
      105    1.479856e+04         g        10         3
      106   -7.390109e+03         h        10         3
      107    1.440269e+04         g        10         4
      108   -5.725252e+03         h        10         4
      109    1.339961e+03         g        10         5
      110   -1.072308e+03         h        10         5
      111    6.906704e+03         g        10         6
      112   -2.978091e+03         h        10         6
      113    2.933468e+03         g        10         7
      114   -5.573122e+03         h        10         7
      115    8.950722e+03         g        10         8
      116    1.571133e+03         h        10         8
      117    3.129276e+03         g        10         9
      118   -2.698108e+03         h        10         9
      119    3.994892e+03         g        10        10
      120    5.689517e+03         h        10        10
      121   -6.209398e+02         g        11         0
      122    1.393344e+04         g        11         1
      123    2.135815e+03         h        11         1
      124   -4.715631e+03         g        11         2
      125    1.904845e+04         h        11         2
      126    1.648499e+04         g        11         3
      127   -1.574685e+04         h        11         3
      128    1.490831e+03         g        11         4
