      IND             SHC     g | h         n         m
        1    8.026155e+05         g         1         0
        2   -1.392916e+05         g         1         1
        3    4.123515e+04         h         1         1
        4    2.872966e+04         g         2         0
        5   -1.390922e+05         g         2         1
        6   -1.042498e+05         h         2         1
        7    1.178723e+05         g         2         2
        8    4.936193e+04         h         2         2
        9    8.449864e+03         g         3         0
       10   -1.140929e+05         g         3         1
       11   -9.990884e+04         h         3         1
       12    4.685618e+04         g         3         2
       13    1.293488e+05         h         3         2
       14   -4.950026e+03         g         3         3
       15   -8.384369e+04         h         3         3
       16   -1.302472e+05         g         4         0
       17   -3.138397e+04         g         4         1
       18    1.216139e+05         h         4         1
       19   -9.931874e+03         g         4         2
       20    1.060844e+05         h         4         2
       21   -4.105633e+04         g         4         3
       22   -2.461779e+03         h         4         3
       23   -6.874552e+04         g         4         4
       24   -4.817195e+03         h         4         4
       25   -9.079457e+04         g         5         0
       26    2.211628e+04         g         5         1
       27    2.203927e+05         h         5         1
       28    7.887618e+04         g         5         2
       29   -6.626794e+03         h         5         2
       30   -8.321621e+04         g         5         3
       31    2.841909e+04         h         5         3
       32   -1.208618e+04         g         5         4
       33    5.030463e+04         h         5         4
       34   -2.340725e+04         g         5         5
       35    4.828125e+04         h         5         5
       36   -1.197409e+05         g         6         0
       37    5.544648e+04         g         6         1
       38    7.602654e+04         h         6         1
       39    7.179026e+04         g         6         2
       40   -5.488340e+04         h         6         2
       41   -7.307141e+04         g         6         3
       42   -1.406280e+03         h         6         3
       43    1.568857e+04         g         6         4
       44    8.224607e+04         h         6         4
       45    8.526391e+03         g         6         5
       46   -2.194846e+04         h         6         5
       47    4.842023e+04         g         6         6
       48    2.820654e+04         h         6         6
       49   -1.445155e+04         g         7         0
       50    4.676980e+04         g         7         1
       51   -4.571288e+04         h         7         1
       52   -4.993795e+04         g         7         2
       53   -9.278534e+04         h         7         2
       54   -1.453434e+04         g         7         3
       55    1.483585e+04         h         7         3
       56   -5.156561e+04         g         7         4
       57    4.039222e+04         h         7         4
       58    2.425280e+04         g         7         5
       59   -4.961598e+04         h         7         5
       60   -1.866226e+04         g         7         6
       61   -1.454877e+04         h         7         6
       62    2.712257e+04         g         7         7
       63   -4.388709e+04         h         7         7
       64    1.168407e+05         g         8         0
       65    2.913928e+03         g         8         1
       66   -3.696157e+04         h         8         1
       67   -6.970160e+04         g         8         2
       68   -1.085266e+05         h         8         2
       69    2.936001e+03         g         8         3
       70    9.669410e+04         h         8         3
       71   -4.495871e+04         g         8         4
       72   -1.637293e+04         h         8         4
       73   -1.521677e+04         g         8         5
       74    2.133227e+04         h         8         5
       75   -4.039458e+04         g         8         6
       76   -3.031041e+04         h         8         6
       77   -1.245524e+04         g         8         7
       78    8.917012e+03         h         8         7
       79   -2.892922e+04         g         8         8
       80   -2.875789e+04         h         8         8
       81    7.337792e+04         g         9         0
       82   -2.541490e+04         g         9         1
       83   -7.713083e+04         h         9         1
       84    1.405316e+04         g         9         2
       85   -2.366504e+04         h         9         2
       86    8.866806e+03         g         9         3
       87    7.588147e+04         h         9         3
       88    4.146150e+04         g         9         4
       89   -1.608622e+04         h         9         4
       90   -3.156963e+04         g         9         5
       91    4.298833e+04         h         9         5
       92    1.756422e+04         g         9         6
       93   -2.476162e+03         h         9         6
       94   -1.794638e+04         g         9         7
       95    2.171864e+04         h         9         7
       96    1.673630e+04         g         9         8
       97    9.914813e+03         h         9         8
       98   -2.628697e+04         g         9         9
       99    2.173710e+04         h         9         9
      100   -2.032348e+04         g        10         0
      101    1.381352e+04         g        10         1
      102   -9.526668e+04         h        10         1
      103    2.875427e+04         g        10         2
      104    8.126560e+04         h        10         2
      105    6.080947e+04         g        10         3
      106   -3.035702e+04         h        10         3
      107    5.919506e+04         g        10         4
      108   -2.353075e+04         h        10         4
      109    5.487708e+03         g        10         5
      110   -4.396473e+03         h        10         5
      111    2.836107e+04         g        10         6
      112   -1.224876e+04         h        10         6
      113    1.207670e+04         g        10         7
      114   -2.289299e+04         h        10         7
      115    3.678495e+04         g        10         8
      116    6.475020e+03         h        10         8
      117    1.286108e+04         g        10         9
