      IND             SHC     g | h         n         m
        1    5.633760e+05         g         1         0
        2   -9.779427e+04         g         1         1
        3    2.865661e+04         h         1         1
        4    1.863748e+04         g         2         0
        5   -8.660307e+04         g         2         1
        6   -6.520870e+04         h         2         1
        7    7.332306e+04         g         2         2
        8    3.124100e+04         h         2         2
        9    4.902616e+03         g         3         0
       10   -6.316205e+04         g         3         1
       11   -5.546404e+04         h         3         1
       12    2.578874e+04         g         3         2
       13    7.185531e+04         h         3         2
       14   -2.167559e+03         g         3         3
       15   -4.653198e+04         h         3         3
       16   -6.328822e+04         g         4         0
       17   -1.575163e+04         g         4         1
       18    5.953053e+04         h         4         1
       19   -5.033021e+03         g         4         2
       20    5.241425e+04         h         4         2
       21   -2.023531e+04         g         4         3
       22   -1.517710e+03         h         4         3
       23   -3.379059e+04         g         4         4
       24   -2.891625e+03         h         4         4
       25   -3.954753e+04         g         5         0
       26    9.064987e+03         g         5         1
       27    9.691318e+04         h         5         1
       28    3.439467e+04         g         5         2
       29   -2.812490e+03         h         5         2
       30   -3.645265e+04         g         5         3
       31    1.219915e+04         h         5         3
       32   -5.448514e+03         g         5         4
       33    2.200312e+04         h         5         4
       34   -1.067977e+04         g         5         5
       35    2.099765e+04         h         5         5
       36   -4.547115e+04         g         6         0
       37    2.113421e+04         g         6         1
       38    2.903509e+04         h         6         1
       39    2.819222e+04         g         6         2
       40   -2.103334e+04         h         6         2
       41   -2.878034e+04         g         6         3
       42   -1.161898e+03         h         6         3
       43    5.748385e+03         g         6         4
       44    3.216908e+04         h         6         4
       45    3.216057e+03         g         6         5
       46   -8.346492e+03         h         6         5
       47    1.853075e+04         g         6         6
       48    1.139411e+04         h         6         6
       49   -3.936445e+03         g         7         0
       50    1.571057e+04         g         7         1
       51   -1.496441e+04         h         7         1
       52   -1.737572e+04         g         7         2
       53   -3.228610e+04         h         7         2
       54   -4.595497e+03         g         7         3
       55    4.887157e+03         h         7         3
       56   -1.771189e+04         g         7         4
       57    1.415580e+04         h         7         4
       58    8.823278e+03         g         7         5
       59   -1.727382e+04         h         7         5
       60   -6.116501e+03         g         7         6
       61   -5.084677e+03         h         7         6
       62    9.866476e+03         g         7         7
       63   -1.483495e+04         h         7         7
       64    3.818398e+04         g         8         0
       65    3.745846e+02         g         8         1
       66   -1.170124e+04         h         8         1
       67   -2.126501e+04         g         8         2
       68   -3.347988e+04         h         8         2
       69    4.023276e+02         g         8         3
       70    2.897324e+04         h         8         3
       71   -1.377714e+04         g         8         4
       72   -4.957934e+03         h         8         4
       73   -4.965884e+03         g         8         5
       74    6.829567e+03         h         8         5
       75   -1.235848e+04         g         8         6
       76   -9.467973e+03         h         8         6
       77   -3.940340e+03         g         8         7
       78    2.679277e+03         h         8         7
       79   -8.872570e+03         g         8         8
       80   -9.207472e+03         h         8         8
       81    2.257200e+04         g         9         0
       82   -7.208202e+03         g         9         1
       83   -2.068718e+04         h         9         1
       84    3.747764e+03         g         9         2
       85   -6.419337e+03         h         9         2
       86    2.331374e+03         g         9         3
       87    1.994215e+04         h         9         3
       88    1.134432e+04         g         9         4
       89   -3.859017e+03         h         9         4
       90   -8.843984e+03         g         9         5
       91    1.127524e+04         h         9         5
       92    5.107346e+03         g         9         6
       93   -5.808576e+02         h         9         6
       94   -5.128758e+03         g         9         7
       95    5.961045e+03         h         9         7
       96    4.574997e+03         g         9         8
       97    2.632461e+03         h         9         8
       98   -7.583951e+03         g         9         9
       99    5.858100e+03         h         9         9
      100   -1.656900e+03         g        10         0
      101    3.076205e+03         g        10         1
      102   -2.260230e+04         h        10         1
      103    6.494808e+03         g        10         2
      104    1.992584e+04         h        10         2
      105    1.472705e+04         g        10         3
      106   -8.165239e+03         h        10         3
      107    1.409117e+04         g        10         4
      108   -5.392269e+03         h        10         4
      109    1.412139e+03         g        10         5
      110   -1.279547e+03         h        10         5
      111    6.920988e+03         g        10         6
      112   -2.815727e+03         h        10         6
      113    2.963664e+03         g        10         7
      114   -5.523478e+03         h        10         7
      115    8.951743e+03         g        10         8
      116    1.308158e+03         h        10         8
      117    3.111827e+03         g        10         9
      118   -2.553244e+03         h        10         9
      119    3.859299e+03         g        10        10
      120    5.992843e+03         h        10        10
      121    3.337247e+03         g        11         0
      122    1.380232e+04         g        11         1
      123    2.473311e+03         h        11         1
      124   -4.812873e+03         g        11         2
      125    1.943437e+04         h        11         2
      126    1.597408e+04         g        11         3
      127   -1.681573e+04         h        11         3
      128    1.290966e+03         g        11         4
      129   -1.210898e+04         h        11         4
      130    1.576942e+03         g        11         5
      131   -1.499797e+03         h        11         5
      132   -3.577067e+03         g        11         6
      133   -1.105550e+04         h        11         6
      134   -1.245009e+03         g        11         7
      135   -5.353935e+03         h        11         7
      136    3.247092e+03         g        11         8
      137   -7.377545e+03         h        11         8
      138    1.055572e+03         g        11         9
      139   -6.140727e+03         h        11         9
      140   -5.325203e+02         g        11        10
      141   -2.442126e+03         h        11        10
      142    4.044559e+03         g        11        11
      143   -1.989935e+03         h        11        11
      144    1.139227e+04         g        12         0
      145    8.375382e+03         g        12         1
      146    2.154745e+04         h        12         1
      147   -2.749529e+03         g        12         2
      148    7.589656e+03         h        12         2
      149    2.994722e+02         g        12         3
      150   -8.768500e+03         h        12         3
      151   -2.598887e+03         g        12         4
      152   -4.529910e+03         h        12         4
      153   -4.071436e+03         g        12         5
      154    4.384258e+03         h        12         5
      155   -4.302767e+03         g        12         6
      156   -5.330493e+03         h        12         6
      157   -8.850914e+03         g        12         7
      158    3.506279e+03         h        12         7
      159    2.372939e+03         g        12         8
      160   -4.158897e+03         h        12         8
      161   -6.058168e+03         g        12         9
      162   -2.713030e+03         h        12         9
      163   -3.252721e+03         g        12        10
      164   -1.367910e+02         h        12        10
      165   -2.759338e+03         g        12        11
      166   -2.772954e+01         h        12        11
      167   -8.157091e+02         g        12        12
      168   -2.576081e+03         h        12        12
      169    7.787733e+03         g        13         0
      170   -4.469438e+03         g        13         1
      171    1.578093e+04         h        13         1
      172    5.969815e+03         g        13         2
      173    2.299897e+03         h        13         2
      174   -9.571657e+03         g        13         3
      175   -2.095322e+03         h        13         3
      176    1.398870e+02         g        13         4
      177    9.074727e+03         h        13         4
      178    1.006869e+03         g        13         5
      179    1.369278e+03         h        13         5
      180    1.027278e+03         g        13         6
      181    4.829176e+03         h        13         6
      182   -3.904950e+03         g        13         7
      183    5.447136e+03         h        13         7
      184    5.612784e+03         g        13         8
      185    1.708830e+03         h        13         8
      186   -3.066852e+03         g        13         9
      187   -7.459682e+02         h        13         9
      188   -8.792458e+02         g        13        10
      189    5.199262e+03         h        13        10
      190   -1.236925e+03         g        13        11
      191    2.399552e+03         h        13        11
      192   -6.398061e+02         g        13        12
      193    2.400458e+03         h        13        12
      194   -1.711677e+03         g        13        13
      195    1.269684e+02         h        13        13
      196    5.611320e+03         g        14         0
      197   -1.154629e+04         g        14         1
      198    5.896586e+02         h        14         1
      199    5.689429e+03         g        14         2
      200   -3.464414e+02         h        14         2
      201   -6.827443e+03         g        14         3
      202    6.373248e+02         h        14         3
      203   -3.486690e+02         g        14         4
      204    8.335124e+03         h        14         4
      205    6.789602e+03         g        14         5
      206   -5.129975e+03         h        14         5
      207    6.113540e+02         g        14         6
      208    4.503756e+03         h        14         6
      209    3.372157e+03         g        14         7
      210    1.130733e+03         h        14         7
      211    4.084038e+03         g        14         8
      212   -1.339278e+03         h        14         8
      213    1.270183e+03         g        14         9
      214   -1.945394e+03         h        14         9
      215    1.567771e+03         g        14        10
      216    2.405508e+03         h        14        10
