      IND             SHC     g | h         n         m
        1    4.789878e+05         g         1         0
        2   -8.311295e+04         g         1         1
        3    2.446887e+04         h         1         1
        4    1.500165e+04         g         2         0
        5   -6.972201e+04         g         2         1
        6   -5.246312e+04         h         2         1
        7    5.911590e+04         g         2         2
        8    2.513692e+04         h         2         2
        9    3.734933e+03         g         3         0
       10   -4.817159e+04         g         3         1
       11   -4.231638e+04         h         3         1
       12    1.971340e+04         g         3         2
       13    5.483065e+04         h         3         2
       14   -1.677094e+03         g         3         3
       15   -3.552812e+04         h         3         3
       16   -4.577948e+04         g         4         0
       17   -1.137188e+04         g         4         1
       18    4.305564e+04         h         4         1
       19   -3.653727e+03         g         4         2
       20    3.789188e+04         h         4         2
       21   -1.463308e+04         g         4         3
       22   -1.076187e+03         h         4         3
       23   -2.442778e+04         g         4         4
       24   -2.092842e+03         h         4         4
       25   -2.709405e+04         g         5         0
       26    6.215554e+03         g         5         1
       27    6.638925e+04         h         5         1
       28    2.355430e+04         g         5         2
       29   -1.934704e+03         h         5         2
       30   -2.496283e+04         g         5         3
       31    8.365002e+03         h         5         3
       32   -3.730126e+03         g         5         4
       33    1.507933e+04         h         5         4
       34   -7.312541e+03         g         5         5
       35    1.438945e+04         h         5         5
       36   -2.951471e+04         g         6         0
       37    1.370453e+04         g         6         1
       38    1.885971e+04         h         6         1
       39    1.831665e+04         g         6         2
       40   -1.366535e+04         h         6         2
       41   -1.868823e+04         g         6         3
       42   -7.513960e+02         h         6         3
       43    3.745428e+03         g         6         4
       44    2.087309e+04         h         6         4
       45    2.069949e+03         g         6         5
       46   -5.417546e+03         h         6         5
       47    1.200700e+04         g         6         6
       48    7.391554e+03         h         6         6
       49   -2.414316e+03         g         7         0
       50    9.643837e+03         g         7         1
       51   -9.193815e+03         h         7         1
       52   -1.068082e+04         g         7         2
       53   -1.984362e+04         h         7         2
       54   -2.845207e+03         g         7         3
       55    2.998761e+03         h         7         3
       56   -1.089853e+04         g         7         4
       57    8.725627e+03         h         7         4
       58    5.398549e+03         g         7         5
       59   -1.060709e+04         h         7         5
       60   -3.745361e+03         g         7         6
       61   -3.134966e+03         h         7         6
       62    6.057337e+03         g         7         7
       63   -9.126642e+03         h         7         7
       64    2.224568e+04         g         8         0
       65    2.136945e+02         g         8         1
       66   -6.811642e+03         h         8         1
       67   -1.237468e+04         g         8         2
       68   -1.951341e+04         h         8         2
       69    2.419917e+02         g         8         3
       70    1.687669e+04         h         8         3
       71   -8.013166e+03         g         8         4
       72   -2.895717e+03         h         8         4
       73   -2.871448e+03         g         8         5
       74    3.958612e+03         h         8         5
       75   -7.210906e+03         g         8         6
       76   -5.511329e+03         h         8         6
       77   -2.294646e+03         g         8         7
       78    1.564542e+03         h         8         7
       79   -5.148837e+03         g         8         8
       80   -5.385978e+03         h         8         8
       81    1.244292e+04         g         9         0
       82   -3.991210e+03         g         9         1
       83   -1.140639e+04         h         9         1
       84    2.061202e+03         g         9         2
       85   -3.524644e+03         h         9         2
       86    1.274167e+03         g         9         3
       87    1.099965e+04         h         9         3
       88    6.251322e+03         g         9         4
       89   -2.111975e+03         h         9         4
       90   -4.877779e+03         g         9         5
       91    6.226112e+03         h         9         5
       92    2.831030e+03         g         9         6
       93   -3.092634e+02         h         9         6
       94   -2.821952e+03         g         9         7
       95    3.321715e+03         h         9         7
       96    2.488402e+03         g         9         8
       97    1.460805e+03         h         9         8
       98   -4.192690e+03         g         9         9
       99    3.211003e+03         h         9         9
      100   -8.555840e+02         g        10         0
      101    1.611238e+03         g        10         1
      102   -1.180975e+04         h        10         1
      103    3.419024e+03         g        10         2
      104    1.041300e+04         h        10         2
      105    7.691461e+03         g        10         3
      106   -4.259167e+03         h        10         3
      107    7.372545e+03         g        10         4
      108   -2.820861e+03         h        10         4
      109    7.459522e+02         g        10         5
      110   -6.837753e+02         h        10         5
      111    3.620838e+03         g        10         6
      112   -1.449140e+03         h        10         6
      113    1.526857e+03         g        10         7
      114   -2.886838e+03         h        10         7
      115    4.660264e+03         g        10         8
      116    7.031841e+02         h        10         8
      117    1.616736e+03         g        10         9
      118   -1.350977e+03         h        10         9
      119    2.022470e+03         g        10        10
      120    3.120711e+03         h        10        10
      121    1.640511e+03         g        11         0
      122    6.817661e+03         g        11         1
      123    1.213879e+03         h        11         1
      124   -2.379225e+03         g        11         2
      125    9.624670e+03         h        11         2
      126    7.901912e+03         g        11         3
      127   -8.303722e+03         h        11         3
      128    6.408787e+02         g        11         4
      129   -5.984837e+03         h        11         4
      130    7.750797e+02         g        11         5
      131   -7.175283e+02         h        11         5
      132   -1.802594e+03         g        11         6
      133   -5.456697e+03         h        11         6
      134   -6.477556e+02         g        11         7
      135   -2.645546e+03         h        11         7
      136    1.599547e+03         g        11         8
      137   -3.637888e+03         h        11         8
      138    5.109226e+02         g        11         9
      139   -3.031302e+03         h        11         9
      140   -3.020619e+02         g        11        10
      141   -1.224396e+03         h        11        10
      142    2.010152e+03         g        11        11
      143   -1.026156e+03         h        11        11
      144    5.370189e+03         g        12         0
      145    3.923839e+03         g        12         1
      146    1.011699e+04         h        12         1
      147   -1.303883e+03         g        12         2
      148    3.571661e+03         h        12         2
      149    1.538345e+02         g        12         3
      150   -4.086863e+03         h        12         3
      151   -1.237060e+03         g        12         4
      152   -2.085665e+03         h        12         4
      153   -1.905866e+03         g        12         5
      154    2.070529e+03         h        12         5
      155   -2.016103e+03         g        12         6
      156   -2.480642e+03         h        12         6
      157   -4.167580e+03         g        12         7
      158    1.654336e+03         h        12         7
      159    1.124875e+03         g        12         8
      160   -1.958750e+03         h        12         8
      161   -2.834515e+03         g        12         9
      162   -1.239231e+03         h        12         9
      163   -1.515924e+03         g        12        10
      164   -6.635181e+01         h        12        10
      165   -1.286431e+03         g        12        11
      166    8.671184e+00         h        12        11
      167   -4.126354e+02         g        12        12
      168   -1.225968e+03         h        12        12
      169    3.471065e+03         g        13         0
      170   -2.002508e+03         g        13         1
      171    7.007257e+03         h        13         1
      172    2.647182e+03         g        13         2
      173    1.005343e+03         h        13         2
      174   -4.249317e+03         g        13         3
      175   -9.178473e+02         h        13         3
      176    8.661111e+01         g        13         4
      177    4.067869e+03         h        13         4
      178    4.301056e+02         g        13         5
      179    5.920261e+02         h        13         5
      180    4.918438e+02         g        13         6
      181    2.150323e+03         h        13         6
      182   -1.745432e+03         g        13         7
      183    2.416425e+03         h        13         7
      184    2.494567e+03         g        13         8
      185    7.584769e+02         h        13         8
      186   -1.347079e+03         g        13         9
      187   -3.077827e+02         h        13         9
      188   -3.771865e+02         g        13        10
      189    2.317165e+03         h        13        10
      190   -5.508392e+02         g        13        11
      191    1.066062e+03         h        13        11
      192   -2.760501e+02         g        13        12
      193    1.064709e+03         h        13        12
      194   -7.596089e+02         g        13        13
      195    7.032409e+01         h        13        13
      196    2.370139e+03         g        14         0
      197   -4.878353e+03         g        14         1
      198    2.203324e+02         h        14         1
      199    2.386776e+03         g        14         2
      200   -1.614987e+02         h        14         2
      201   -2.874898e+03         g        14         3
      202    2.611522e+02         h        14         3
      203   -1.342374e+02         g        14         4
      204    3.530516e+03         h        14         4
      205    2.834001e+03         g        14         5
      206   -2.168000e+03         h        14         5
      207    2.892553e+02         g        14         6
      208    1.884806e+03         h        14         6
      209    1.413937e+03         g        14         7
      210    5.051927e+02         h        14         7
      211    1.721234e+03         g        14         8
      212   -5.707129e+02         h        14         8
      213    5.685817e+02         g        14         9
      214   -7.836089e+02         h        14         9
      215    6.661455e+02         g        14        10
      216    1.042423e+03         h        14        10
      217    9.008876e+02         g        14        11
      218    6.015131e+02         h        14        11
      219    5.450402e+02         g        14        12
      220    6.466596e+02         h        14        12
      221    6.337179e+02         g        14        13
      222    3.395914e+02         h        14        13
      223   -7.796706e+01         g        14        14
      224    4.395656e+02         h        14        14
      225    1.882361e+03         g        15         0
      226   -4.714990e+03         g        15         1
      227   -3.103898e+03         h        15         1
      228   -4.693727e+02         g        15         2
      229   -1.326361e+03         h        15         2
      230   -1.452529e+03         g        15         3
      231    1.004387e+03         h        15         3
      232   -1.094099e+03         g        15         4
      233   -8.945348e+01         h        15         4
      234    4.152777e+02         g        15         5
      235   -1.907379e+03         h        15         5
      236   -1.145361e+03         g        15         6
      237    5.292241e+02         h        15         6
      238    9.271304e+02         g        15         7
      239   -2.119859e+02         h        15         7
      240   -7.230839e+02         g        15         8
      241   -1.612507e+03         h        15         8
      242   -4.161494e+02         g        15         9
      243   -4.335328e+02         h        15         9
      244    3.297978e+02         g        15        10
      245   -4.321879e+02         h        15        10
      246   -1.397932e+01         g        15        11
      247   -1.673538e+02         h        15        11
      248    3.621048e+02         g        15        12
      249   -1.838953e+02         h        15        12
      250    3.265412e+02         g        15        13
      251   -3.075675e+02         h        15        13
      252    3.098653e+02         g        15        14
      253   -3.534934e+02         h        15        14
      254    2.371359e+02         g        15        15
      255    1.377065e+02         h        15        15
      256   -7.025812e+02         g        16         0
      257   -3.003616e+03         g        16         1
      258   -1.837666e+03         h        16         1
      259   -1.522656e+03         g        16         2
      260   -1.028028e+03         h        16         2
      261   -9.773035e+02         g        16         3
      262    1.183864e+03         h        16         3
      263   -7.962038e+02         g        16         4
      264   -7.184391e+02         h        16         4
      265   -2.116103e+03         g        16         5
      266    3.006118e+02         h        16         5
      267   -6.378705e+02         g        16         6
      268    1.129024e+03         h        16         6
      269    1.459291e+02         g        16         7
      270    4.110955e+02         h        16         7
      271   -1.718254e+03         g        16         8
      272   -1.032302e+02         h        16         8
      273   -9.038915e+02         g        16         9
      274    9.406201e+02         h        16         9
      275    3.965418e+01         g        16        10
      276    6.785776e+01         h        16        10
      277   -7.442522e+02         g        16        11
      278    1.123784e+02         h        16        11
      279   -2.097481e+02         g        16        12
      280    4.124547e+02         h        16        12
      281   -1.828543e+02         g        16        13
      282   -2.780806e+02         h        16        13
      283   -1.384799e+02         g        16        14
      284   -1.853368e+02         h        16        14
      285   -1.464628e+02         g        16        15
      286   -2.751699e+02         h        16        15
      287    1.343161e+02         g        16        16
      288   -9.923484e+01         h        16        16
      289   -2.409298e+03         g        17         0
      290   -4.299554e+02         g        17         1
      291    1.022433e+03         h        17         1
      292   -1.493845e+02         g        17         2
      293   -1.995929e+02         h        17         2
      294    2.184808e+02         g        17         3
      295    3.839709e+02         h        17         3
      296    5.850868e+02         g        17         4
      297    5.533366e+01         h        17         4
      298   -1.256096e+03         g        17         5
      299    1.165156e+03         h        17         5
      300    1.072892e+03         g        17         6
      301    9.752914e+02         h        17         6
      302    7.272735e+02         g        17         7
      303    2.280526e+02         h        17         7
      304   -7.355503e+02         g        17         8
      305    8.295949e+02         h        17         8
      306    2.697480e+02         g        17         9
      307    1.313323e+03         h        17         9
      308    5.329287e+02         g        17        10
      309    2.246482e+02         h        17        10
      310   -1.244582e+02         g        17        11
      311    4.794533e+02         h        17        11
      312    4.001750e+01         g        17        12
      313    7.212503e+02         h        17        12
      314    1.056931e+02         g        17        13
      315    1.908183e+02         h        17        13
      316   -1.502784e+02         g        17        14
      317    1.206697e+02         h        17        14
      318   -7.015505e+01         g        17        15
      319    1.740076e+00         h        17        15
      320   -1.774279e+02         g        17        16
      321    4.509426e+01         h        17        16
      322   -2.923648e+01         g        17        17
      323   -1.135775e+02         h        17        17
      324   -1.207870e+03         g        18         0
      325    1.475194e+03         g        18         1
      326    1.859897e+03         h        18         1
      327    1.050261e+03         g        18         2
      328   -4.330602e+02         h        18         2
      329    9.506793e+02         g        18         3
      330   -8.387537e+02         h        18         3
      331    1.204967e+03         g        18         4
      332   -3.085240e+02         h        18         4
      333    1.041506e+02         g        18         5
      334    2.104511e+02         h        18         5
      335    1.401630e+03         g        18         6
      336   -6.873938e+02         h        18         6
      337    4.735648e+02         g        18         7
      338   -7.705887e+02         h        18         7
      339    1.346348e+02         g        18         8
      340    1.810388e+02         h        18         8
      341    7.535896e+02         g        18         9
      342    2.673710e+02         h        18         9
      343    5.770462e+02         g        18        10
      344   -5.441859e+02         h        18        10
      345    2.511004e+02         g        18        11
      346    4.644398e+01         h        18        11
      347    4.263838e+02         g        18        12
      348    1.224475e+02         h        18        12
      349    2.772829e+02         g        18        13
      350    4.909281e+01         h        18        13
      351    1.951854e+02         g        18        14
      352   -6.225693e+01         h        18        14
      353    1.059039e+02         g        18        15
      354    2.486033e+01         h        18        15
      355    1.413734e+01         g        18        16
      356    8.051936e+00         h        18        16
      357   -7.255413e-01         g        18        17
      358    1.217572e+02         h        18        17
      359   -8.023664e+01         g        18        18
      360   -1.264566e+01         h        18        18
      361    1.955850e+02         g        19         0
      362    1.388493e+03         g        19         1
      363    5.954812e+02         h        19         1
      364    6.092902e+02         g        19         2
      365   -8.344135e+02         h        19         2
      366    2.373666e+02         g        19         3
      367   -1.053492e+03         h        19         3
      368    4.860962e+02         g        19         4
      369   -6.014774e+02         h        19         4
      370    5.401334e+00         g        19         5
      371   -5.562941e+02         h        19         5
      372    2.032723e+02         g        19         6
      373   -1.228015e+03         h        19         6
      374   -7.077892e+02         g        19         7
      375   -8.894423e+02         h        19         7
      376    5.655018e+01         g        19         8
      377   -8.796109e+01         h        19         8
      378    7.633452e+01         g        19         9
      379   -4.923679e+02         h        19         9
      380   -2.039702e+02         g        19        10
      381   -6.640468e+02         h        19        10
      382   -9.306764e+01         g        19        11
      383   -2.511266e+02         h        19        11
      384    1.358749e+02         g        19        12
      385   -2.863233e+02         h        19        12
      386   -6.171811e+01         g        19        13
      387   -2.232851e+02         h        19        13
      388    9.075172e+01         g        19        14
      389   -1.865043e+02         h        19        14
      390   -5.554400e+00         g        19        15
      391   -2.228581e+02         h        19        15
      392    2.068651e+01         g        19        16
      393   -9.234286e+01         h        19        16
      394    1.810176e+00         g        19        17
      395   -3.546374e+00         h        19        17
      396    6.768864e+01         g        19        18
      397    1.673725e+01         h        19        18
      398   -2.455535e+01         g        19        19
      399    5.040784e+01         h        19        19
      400    1.340859e+02         g        20         0
      401    2.351283e+02         g        20         1
      402   -4.216325e+02         h        20         1
      403   -2.476116e+02         g        20         2
      404   -3.718296e+02         h        20         2
      405   -4.406573e+02         g        20         3
      406   -5.988674e+01         h        20         3
      407   -2.475806e+02         g        20         4
      408    2.818723e+01         h        20         4
      409   -1.395019e+02         g        20         5
      410   -1.716561e+02         h        20         5
      411   -5.760259e+02         g        20         6
      412   -2.329377e+02         h        20         6
      413   -8.914751e+02         g        20         7
      414   -7.106736e+00         h        20         7
      415    2.885975e+01         g        20         8
      416    3.338859e+02         h        20         8
      417   -2.375210e+02         g        20         9
      418   -2.668503e+02         h        20         9
      419   -5.959493e+02         g        20        10
      420   -6.650325e+00         h        20        10
      421   -1.533142e+02         g        20        11
      422    5.150520e+01         h        20        11
      423   -1.571002e+02         g        20        12
      424   -1.226271e+02         h        20        12
      425   -2.433573e+02         g        20        13
      426   -2.240493e+01         h        20        13
      427   -1.175544e+02         g        20        14
      428   -2.026300e+01         h        20        14
      429   -1.142444e+02         g        20        15
      430   -1.401227e+02         h        20        15
      431   -1.338271e+02         g        20        16
      432   -4.425271e+01         h        20        16
      433   -5.426534e+01         g        20        17
      434   -1.730658e+01         h        20        17
      435   -1.536016e+01         g        20        18
      436    4.226193e+00         h        20        18
      437    1.661777e+01         g        20        19
      438   -3.311008e+01         h        20        19
      439    3.099119e+01         g        20        20
      440    2.165995e+01         h        20        20
      441   -2.077156e+02         g        21         0
      442   -4.004500e+02         g        21         1
      443   -4.429034e+02         h        21         1
      444   -2.565919e+02         g        21         2
      445    2.891796e+02         h        21         2
      446   -1.838367e+02         g        21         3
      447    7.533816e+02         h        21         3
      448   -1.728250e+02         g        21         4
      449    3.777804e+02         h        21         4
      450    2.957285e+02         g        21         5
      451    3.097458e+02         h        21         5
      452   -2.517377e+02         g        21         6
      453    4.214615e+02         h        21         6
      454   -7.167844e+01         g        21         7
      455    4.844250e+02         h        21         7
      456    3.742348e+02         g        21         8
      457    2.716573e+02         h        21         8
      458    4.635050e+01         g        21         9
      459   -5.941558e+00         h        21         9
      460   -2.124422e+02         g        21        10
      461    2.977367e+02         h        21        10
      462    1.608877e+02         g        21        11
      463    2.089962e+02         h        21        11
