      IND             SHC     g | h         n         m
        1    6.687308e+05         g         1         0
        2   -1.160465e+05         g         1         1
        3    3.413219e+04         h         1         1
        4    2.341432e+04         g         2         0
        5   -1.088014e+05         g         2         1
        6   -8.189285e+04         h         2         1
        7    9.221611e+04         g         2         2
        8    3.923847e+04         h         2         2
        9    6.525897e+03         g         3         0
       10   -8.403092e+04         g         3         1
       11   -7.379209e+04         h         3         1
       12    3.435356e+04         g         3         2
       13    9.562767e+04         h         3         2
       14   -2.905850e+03         g         3         3
       15   -6.193958e+04         h         3         3
       16   -8.920330e+04         g         4         0
       17   -2.217342e+04         g         4         1
       18    8.389608e+04         h         4         1
       19   -7.089815e+03         g         4         2
       20    7.385615e+04         h         4         2
       21   -2.851830e+04         g         4         3
       22   -2.125966e+03         h         4         3
       23   -4.761392e+04         g         4         4
       24   -4.077366e+03         h         4         4
       25   -5.900879e+04         g         5         0
       26    1.353075e+04         g         5         1
       27    1.446100e+05         h         5         1
       28    5.130991e+04         g         5         2
       29   -4.204818e+03         h         5         2
       30   -5.439154e+04         g         5         3
       31    1.820627e+04         h         5         3
       32   -8.124463e+03         g         5         4
       33    3.283278e+04         h         5         4
       34   -1.593869e+04         g         5         5
       35    3.133075e+04         h         5         5
       36   -7.184601e+04         g         6         0
       37    3.338843e+04         g         6         1
       38    4.587073e+04         h         6         1
       39    4.454872e+04         g         6         2
       40   -3.323568e+04         h         6         2
       41   -4.547903e+04         g         6         3
       42   -1.838595e+03         h         6         3
       43    9.092108e+03         g         6         4
       44    5.082369e+04         h         6         4
       45    5.069312e+03         g         6         5
       46   -1.318463e+04         h         6         5
       47    2.926037e+04         g         6         6
       48    1.800050e+04         h         6         6
       49   -6.588652e+03         g         7         0
       50    2.627165e+04         g         7         1
       51   -2.502221e+04         h         7         1
       52   -2.906747e+04         g         7         2
       53   -5.400747e+04         h         7         2
       54   -7.699179e+03         g         7         3
       55    8.174712e+03         h         7         3
       56   -2.963459e+04         g         7         4
       57    2.369545e+04         h         7         4
       58    1.473980e+04         g         7         5
       59   -2.888901e+04         h         7         5
       60   -1.022293e+04         g         7         6
       61   -8.511435e+03         h         7         6
       62    1.650007e+04         g         7         7
       63   -2.481736e+04         h         7         7
       64    6.762318e+04         g         8         0
       65    6.727292e+02         g         8         1
       66   -2.072709e+04         h         8         1
       67   -3.765432e+04         g         8         2
       68   -5.930252e+04         h         8         2
       69    7.205858e+02         g         8         3
       70    5.132107e+04         h         8         3
       71   -2.439943e+04         g         8         4
       72   -8.785211e+03         h         8         4
       73   -8.777152e+03         g         8         5
       74    1.208925e+04         h         8         5
       75   -2.189573e+04         g         8         6
       76   -1.676597e+04         h         8         6
       77   -6.978897e+03         g         8         7
       78    4.745742e+03         h         8         7
       79   -1.570717e+04         g         8         8
       80   -1.632325e+04         h         8         8
       81    4.232742e+04         g         9         0
       82   -1.351479e+04         g         9         1
       83   -3.879339e+04         h         9         1
       84    7.024445e+03         g         9         2
       85   -1.203761e+04         h         9         2
       86    4.359227e+03         g         9         3
       87    3.739775e+04         h         9         3
       88    2.127266e+04         g         9         4
       89   -7.233592e+03         h         9         4
       90   -1.658578e+04         g         9         5
       91    2.114817e+04         h         9         5
       92    9.582982e+03         g         9         6
       93   -1.092730e+03         h         9         6
       94   -9.617394e+03         g         9         7
       95    1.119488e+04         h         9         7
       96    8.566003e+03         g         9         8
       97    4.936982e+03         h         9         8
       98   -1.422268e+04         g         9         9
       99    1.097782e+04         h         9         9
      100   -3.294129e+03         g        10         0
      101    6.110384e+03         g        10         1
      102   -4.489016e+04         h        10         1
      103    1.291284e+04         g        10         2
      104    3.955475e+04         h        10         2
      105    2.923990e+04         g        10         3
      106   -1.621157e+04         h        10         3
      107    2.798066e+04         g        10         4
      108   -1.071469e+04         h        10         4
      109    2.806163e+03         g        10         5
      110   -2.541391e+03         h        10         5
      111    1.374569e+04         g        10         6
      112   -5.584449e+03         h        10         6
      113    5.882017e+03         g        10         7
      114   -1.096311e+04         h        10         7
      115    1.776956e+04         g        10         8
      116    2.599124e+03         h        10         8
      117    6.171757e+03         g        10         9
      118   -5.069962e+03         h        10         9
      119    7.665736e+03         g        10        10
      120    1.189490e+04         h        10        10
      121    7.007004e+03         g        11         0
      122    2.901401e+04         g        11         1
      123    5.191149e+03         h        11         1
      124   -1.011177e+04         g        11         2
      125    4.085976e+04         h        11         2
      126    3.358499e+04         g        11         3
      127   -3.533780e+04         h        11         3
      128    2.715961e+03         g        11         4
      129   -2.545893e+04         h        11         4
      130    3.310008e+03         g        11         5
      131   -3.137495e+03         h        11         5
      132   -7.523635e+03         g        11         6
      133   -2.324839e+04         h        11         6
      134   -2.628916e+03         g        11         7
      135   -1.125204e+04         h        11         7
      136    6.823612e+03         g        11         8
      137   -1.550767e+04         h        11         8
      138    2.211435e+03         g        11         9
      139   -1.291259e+04         h        11         9
      140   -1.127112e+03         g        11        10
      141   -5.140491e+03         h        11        10
      142    8.499403e+03         g        11        11
      143   -4.191753e+03         h        11        11
      144    2.536191e+04         g        12         0
      145    1.865496e+04         g        12         1
      146    4.796273e+04         h        12         1
      147   -6.126000e+03         g        12         2
      148    1.690426e+04         h        12         2
      149    6.686934e+02         g        12         3
      150   -1.951167e+04         h        12         3
      151   -5.792656e+03         g        12         4
      152   -1.007309e+04         h        12         4
      153   -9.066273e+03         g        12         5
      154    9.768872e+03         h        12         5
      155   -9.576388e+03         g        12         6
      156   -1.186385e+04         h        12         6
      157   -1.971703e+04         g        12         7
      158    7.798906e+03         h        12         7
      159    5.277407e+03         g        12         8
      160   -9.257108e+03         h        12         8
      161   -1.348741e+04         g        12         9
      162   -6.026476e+03         h        12         9
      163   -7.249826e+03         g        12        10
      164   -3.056544e+02         h        12        10
      165   -6.138397e+03         g        12        11
      166   -5.811983e+01         h        12        11
      167   -1.826343e+03         g        12        12
      168   -5.741004e+03         h        12        12
      169    1.836532e+04         g        13         0
      170   -1.053565e+04         g        13         1
      171    3.719037e+04         h        13         1
      172    1.407738e+04         g        13         2
      173    5.412996e+03         h        13         2
      174   -2.256471e+04         g        13         3
      175   -4.935248e+03         h        13         3
      176    3.369329e+02         g        13         4
      177    2.139772e+04         h        13         4
      178    2.368175e+03         g        13         5
      179    3.237308e+03         h        13         5
      180    2.419897e+03         g        13         6
      181    1.138484e+04         h        13         6
      182   -9.207104e+03         g        13         7
      183    1.284269e+04         h        13         7
      184    1.323188e+04         g        13         8
      185    4.032760e+03         h        13         8
      186   -7.219106e+03         g        13         9
      187   -1.747554e+03         h        13         9
      188   -2.072523e+03         g        13        10
      189    1.225621e+04         h        13        10
      190   -2.916775e+03         g        13        11
      191    5.653470e+03         h        13        11
      192   -1.500523e+03         g        13        12
      193    5.653071e+03         h        13        12
      194   -4.034385e+03         g        13        13
      195    3.024368e+02         h        13        13
      196    1.400305e+04         g        14         0
      197   -2.880465e+04         g        14         1
      198    1.462287e+03         h        14         1
      199    1.420722e+04         g        14         2
      200   -8.733112e+02         h        14         2
      201   -1.704619e+04         g        14         3
      202    1.582562e+03         h        14         3
      203   -8.594841e+02         g        14         4
      204    2.080560e+04         h        14         4
      205    1.693599e+04         g        14         5
      206   -1.281324e+04         h        14         5
      207    1.531541e+03         g        14         6
      208    1.123277e+04         h        14         6
      209    8.406981e+03         g        14         7
      210    2.828030e+03         h        14         7
      211    1.020038e+04         g        14         8
      212   -3.345810e+03         h        14         8
      213    3.171368e+03         g        14         9
      214   -4.856495e+03         h        14         9
      215    3.923105e+03         g        14        10
      216    6.003251e+03         h        14        10
      217    5.442093e+03         g        14        11
      218    3.452489e+03         h        14        11
      219    3.164510e+03         g        14        12
      220    3.877237e+03         h        14        12
      221    3.710379e+03         g        14        13
      222    1.886408e+03         h        14        13
      223   -4.484146e+02         g        14        14
      224    2.635425e+03         h        14        14
      225    1.217158e+04         g        15         0
      226   -3.131639e+04         g        15         1
      227   -2.033670e+04         h        15         1
      228   -3.045876e+03         g        15         2
      229   -8.887744e+03         h        15         2
      230   -9.773903e+03         g        15         3
      231    6.542862e+03         h        15         3
      232   -7.353406e+03         g        15         4
      233   -6.729811e+02         h        15         4
      234    2.638728e+03         g        15         5
      235   -1.274593e+04         h        15         5
      236   -7.716281e+03         g        15         6
      237    3.486664e+03         h        15         6
      238    6.238066e+03         g        15         7
      239   -1.561493e+03         h        15         7
      240   -4.746845e+03         g        15         8
      241   -1.060873e+04         h        15         8
      242   -3.004848e+03         g        15         9
      243   -3.043275e+03         h        15         9
      244    2.190471e+03         g        15        10
      245   -3.118864e+03         h        15        10
      246    1.393060e+02         g        15        11
      247   -1.297427e+03         h        15        11
      248    2.433855e+03         g        15        12
      249   -1.315956e+03         h        15        12
      250    2.298475e+03         g        15        13
      251   -2.112257e+03         h        15        13
      252    1.979192e+03         g        15        14
      253   -2.303552e+03         h        15        14
      254    1.562314e+03         g        15        15
      255    6.908032e+02         h        15        15
      256   -5.723294e+03         g        16         0
      257   -2.234112e+04         g        16         1
      258   -1.338623e+04         h        16         1
      259   -1.133564e+04         g        16         2
      260   -7.540078e+03         h        16         2
      261   -7.342593e+03         g        16         3
      262    8.490163e+03         h        16         3
      263   -6.007932e+03         g        16         4
      264   -5.391626e+03         h        16         4
      265   -1.589464e+04         g        16         5
      266    1.966535e+03         h        16         5
      267   -4.799877e+03         g        16         6
      268    8.458847e+03         h        16         6
      269    9.892894e+02         g        16         7
      270    2.813476e+03         h        16         7
      271   -1.249956e+04         g        16         8
      272   -6.609272e+02         h        16         8
      273   -7.035704e+03         g        16         9
      274    6.772882e+03         h        16         9
      275    3.571765e+02         g        16        10
      276    3.190447e+02         h        16        10
      277   -5.561263e+03         g        16        11
      278    6.901787e+02         h        16        11
      279   -1.427414e+03         g        16        12
      280    2.723268e+03         h        16        12
      281   -1.519179e+03         g        16        13
      282   -2.057082e+03         h        16        13
      283   -1.117166e+03         g        16        14
      284   -1.482229e+03         h        16        14
      285   -1.129004e+03         g        16        15
      286   -1.955016e+03         h        16        15
      287    7.875199e+02         g        16        16
      288   -7.940910e+02         h        16        16
      289   -1.996034e+04         g        17         0
      290   -3.451317e+03         g        17         1
      291    8.693786e+03         h        17         1
      292   -1.412021e+03         g        17         2
      293   -1.367765e+03         h        17         2
      294    1.789423e+03         g        17         3
      295    2.845775e+03         h        17         3
      296    4.449766e+03         g        17         4
      297    3.201027e+02         h        17         4
      298   -1.056486e+04         g        17         5
      299    9.384019e+03         h        17         5
      300    8.817429e+03         g        17         6
      301    8.257878e+03         h        17         6
      302    5.763688e+03         g        17         7
      303    1.681294e+03         h        17         7
      304   -5.942516e+03         g        17         8
      305    6.992541e+03         h        17         8
      306    2.096596e+03         g        17         9
      307    1.028536e+04         h        17         9
      308    4.319425e+03         g        17        10
      309    2.044476e+03         h        17        10
      310   -1.053478e+03         g        17        11
      311    3.598979e+03         h        17        11
      312    5.879473e+02         g        17        12
      313    5.903128e+03         h        17        12
      314    7.095574e+02         g        17        13
      315    1.456801e+03         h        17        13
      316   -1.282598e+03         g        17        14
      317    1.050489e+03         h        17        14
      318   -6.997990e+02         g        17        15
      319    1.718564e+02         h        17        15
      320   -1.464635e+03         g        17        16
      321    3.959633e+02         h        17        16
      322   -3.016138e+02         g        17        17
      323   -7.035296e+02         h        17        17
      324   -1.100182e+04         g        18         0
      325    1.353984e+04         g        18         1
      326    1.716539e+04         h        18         1
      327    9.657325e+03         g        18         2
      328   -3.591874e+03         h        18         2
      329    8.447813e+03         g        18         3
      330   -7.718450e+03         h        18         3
      331    1.068742e+04         g        18         4
      332   -2.881838e+03         h        18         4
      333    8.853512e+02         g        18         5
