      IND             SHC     g | h         n         m
      182   -3.497055e+03         g        13         7
      183    5.171241e+03         h        13         7
      184    5.444612e+03         g        13         8
      185    1.904365e+03         h        13         8
      186   -2.982842e+03         g        13         9
      187   -8.038777e+02         h        13         9
      188   -5.135355e+02         g        13        10
      189    5.274291e+03         h        13        10
      190   -1.247413e+03         g        13        11
      191    2.394566e+03         h        13        11
      192   -3.908266e+02         g        13        12
      193    2.515215e+03         h        13        12
      194   -1.649342e+03         g        13        13
      195    3.320559e+01         h        13        13
      196    7.955735e+02         g        14         0
      197   -9.660038e+03         g        14         1
      198    2.692921e+02         h        14         1
      199    5.247488e+03         g        14         2
      200   -1.403950e+03         h        14         2
      201   -5.497932e+03         g        14         3
      202    2.052408e+03         h        14         3
      203   -7.284364e+02         g        14         4
      204    7.978439e+03         h        14         4
      205    7.151633e+03         g        14         5
      206   -5.365923e+03         h        14         5
      207    1.627222e+02         g        14         6
      208    4.333117e+03         h        14         6
      209    3.614621e+03         g        14         7
      210    6.406214e+02         h        14         7
      211    3.934519e+03         g        14         8
      212   -1.500216e+03         h        14         8
      213    1.445819e+03         g        14         9
      214   -2.338226e+03         h        14         9
      215    2.039432e+03         g        14        10
      216    2.435277e+03         h        14        10
      217    2.258300e+03         g        14        11
      218    1.189386e+03         h        14        11
      219    1.578666e+03         g        14        12
      220    1.629389e+03         h        14        12
      221    1.599663e+03         g        14        13
      222    5.564564e+02         h        14        13
      223   -3.269326e+02         g        14        14
      224    9.960377e+02         h        14        14
      225    5.363940e+02         g        15         0
      226   -9.375976e+03         g        15         1
      227   -8.629623e+03         h        15         1
      228   -1.727503e+03         g        15         2
      229   -4.021958e+03         h        15         2
      230   -2.862102e+03         g        15         3
      231    3.552065e+03         h        15         3
      232   -3.648664e+03         g        15         4
      233   -8.747502e+02         h        15         4
      234    1.538431e+03         g        15         5
      235   -4.757955e+03         h        15         5
      236   -3.410837e+03         g        15         6
      237    1.014122e+03         h        15         6
      238    2.249432e+03         g        15         7
      239   -8.972010e+02         h        15         7
      240   -2.059814e+03         g        15         8
      241   -4.355148e+03         h        15         8
      242   -1.225399e+03         g        15         9
      243   -1.745662e+03         h        15         9
      244    1.150291e+03         g        15        10
      245   -1.077145e+03         h        15        10
      246    1.159970e+02         g        15        11
      247   -9.901112e+02         h        15        11
      248    1.179045e+03         g        15        12
      249   -5.629827e+02         h        15        12
      250    9.464099e+02         g        15        13
      251   -1.076419e+03         h        15        13
      252    6.403460e+02         g        15        14
      253   -9.943697e+02         h        15        14
      254    5.320382e+02         g        15        15
      255    3.907058e+02         h        15        15
      256   -4.527265e+03         g        16         0
      257   -5.208817e+03         g        16         1
      258   -6.077192e+03         h        16         1
      259   -4.461307e+03         g        16         2
      260   -2.590641e+03         h        16         2
      261   -2.357233e+03         g        16         3
      262    3.938707e+03         h        16         3
      263   -2.916250e+03         g        16         4
      264   -2.237029e+03         h        16         4
      265   -4.996756e+03         g        16         5
      266    1.211053e+03         h        16         5
      267   -1.927177e+03         g        16         6
      268    2.719313e+03         h        16         6
      269    2.866017e+02         g        16         7
      270    1.059909e+03         h        16         7
      271   -4.619379e+03         g        16         8
      272   -2.142179e+02         h        16         8
      273   -2.748432e+03         g        16         9
      274    1.955704e+03         h        16         9
      275    2.557786e+02         g        16        10
      276    5.931613e+02         h        16        10
      277   -1.841627e+03         g        16        11
      278   -3.233410e+02         h        16        11
      279   -5.406037e+02         g        16        12
      280    9.172966e+02         h        16        12
      281   -6.162522e+02         g        16        13
      282   -1.046881e+03         h        16        13
      283   -5.692324e+02         g        16        14
      284   -6.577047e+02         h        16        14
      285   -5.523311e+02         g        16        15
      286   -6.895215e+02         h        16        15
      287    3.891067e+02         g        16        16
      288   -2.175172e+02         h        16        16
      289   -6.475158e+03         g        17         0
      290    1.469267e+03         g        17         1
      291    1.640689e+03         h        17         1
      292   -8.451151e+02         g        17         2
      293    1.458722e+02         h        17         2
      294    8.448875e+02         g        17         3
      295    1.423321e+03         h        17         3
