      IND             SHC     g | h         n         m
        1    8.021368e+05         g         1         0
        2   -1.392015e+05         g         1         1
        3    4.091567e+04         h         1         1
        4    2.983032e+04         g         2         0
        5   -1.386576e+05         g         2         1
        6   -1.043915e+05         h         2         1
        7    1.174978e+05         g         2         2
        8    5.001477e+04         h         2         2
        9    8.865348e+03         g         3         0
       10   -1.138056e+05         g         3         1
       11   -9.991565e+04         h         3         1
       12    4.648844e+04         g         3         2
       13    1.294885e+05         h         3         2
       14   -3.928299e+03         g         3         3
       15   -8.386469e+04         h         3         3
       16   -1.283186e+05         g         4         0
       17   -3.191465e+04         g         4         1
       18    1.206955e+05         h         4         1
       19   -1.018099e+04         g         4         2
       20    1.062655e+05         h         4         2
       21   -4.103378e+04         g         4         3
       22   -3.066892e+03         h         4         3
       23   -6.850469e+04         g         4         4
       24   -5.862514e+03         h         4         4
       25   -9.018705e+04         g         5         0
       26    2.068378e+04         g         5         1
       27    2.210462e+05         h         5         1
       28    7.843708e+04         g         5         2
       29   -6.415840e+03         h         5         2
       30   -8.316389e+04         g         5         3
       31    2.781042e+04         h         5         3
       32   -1.241507e+04         g         5         4
       33    5.018550e+04         h         5         4
       34   -2.437565e+04         g         5         5
       35    4.788949e+04         h         5         5
       36   -1.166938e+05         g         6         0
       37    5.425274e+04         g         6         1
       38    7.446168e+04         h         6         1
       39    7.232340e+04         g         6         2
       40   -5.393987e+04         h         6         2
       41   -7.386433e+04         g         6         3
       42   -3.000879e+03         h         6         3
       43    1.476475e+04         g         6         4
       44    8.255961e+04         h         6         4
       45    8.251476e+03         g         6         5
       46   -2.141724e+04         h         6         5
       47    4.753461e+04         g         6         6
       48    2.923909e+04         h         6         6
       49   -1.138052e+04         g         7         0
       50    4.535391e+04         g         7         1
       51   -4.317657e+04         h         7         1
       52   -5.019509e+04         g         7         2
       53   -9.320466e+04         h         7         2
       54   -1.326141e+04         g         7         3
       55    1.410705e+04         h         7         3
       56   -5.112936e+04         g         7         4
       57    4.087305e+04         h         7         4
       58    2.544845e+04         g         7         5
       59   -4.987422e+04         h         7         5
       60   -1.764812e+04         g         7         6
       61   -1.468702e+04         h         7         6
       62    2.847741e+04         g         7         7
       63   -4.281753e+04         h         7         7
       64    1.239814e+05         g         8         0
       65    1.248161e+03         g         8         1
       66   -3.800617e+04         h         8         1
       67   -6.904006e+04         g         8         2
       68   -1.087310e+05         h         8         2
       69    1.336283e+03         g         8         3
       70    9.411222e+04         h         8         3
       71   -4.475623e+04         g         8         4
       72   -1.611990e+04         h         8         4
       73   -1.608669e+04         g         8         5
       74    2.218043e+04         h         8         5
       75   -4.012947e+04         g         8         6
       76   -3.074452e+04         h         8         6
       77   -1.278777e+04         g         8         7
       78    8.699746e+03         h         8         7
       79   -2.882149e+04         g         8         8
       80   -2.991963e+04         h         8         8
       81    8.248110e+04         g         9         0
       82   -2.631240e+04         g         9         1
