      IND             SHC     g | h         n         m
        1    5.633453e+05         g         1         0
        2   -9.775457e+04         g         1         1
        3    2.876689e+04         h         1         1
        4    1.862858e+04         g         2         0
        5   -8.656176e+04         g         2         1
        6   -6.514301e+04         h         2         1
        7    7.338071e+04         g         2         2
        8    3.121307e+04         h         2         2
        9    4.899217e+03         g         3         0
       10   -6.313078e+04         g         3         1
       11   -5.545060e+04         h         3         1
       12    2.582570e+04         g         3         2
       13    7.185664e+04         h         3         2
       14   -2.190519e+03         g         3         3
       15   -4.654818e+04         h         3         3
       16   -6.331556e+04         g         4         0
       17   -1.573085e+04         g         4         1
       18    5.954834e+04         h         4         1
       19   -5.044146e+03         g         4         2
       20    5.241381e+04         h         4         2
       21   -2.023884e+04         g         4         3
       22   -1.500583e+03         h         4         3
       23   -3.378956e+04         g         4         4
       24   -2.893422e+03         h         4         4
       25   -3.955249e+04         g         5         0
       26    9.072210e+03         g         5         1
       27    9.692456e+04         h         5         1
       28    3.439124e+04         g         5         2
       29   -2.822502e+03         h         5         2
       30   -3.644685e+04         g         5         3
       31    1.220872e+04         h         5         3
       32   -5.446329e+03         g         5         4
       33    2.201028e+04         h         5         4
       34   -1.067911e+04         g         5         5
       35    2.100528e+04         h         5         5
       36   -4.547957e+04         g         6         0
       37    2.112863e+04         g         6         1
       38    2.905246e+04         h         6         1
       39    2.821536e+04         g         6         2
       40   -2.105271e+04         h         6         2
       41   -2.879318e+04         g         6         3
       42   -1.157030e+03         h         6         3
       43    5.760131e+03         g         6         4
       44    3.216787e+04         h         6         4
       45    3.198623e+03         g         6         5
       46   -8.346664e+03         h         6         5
       47    1.851303e+04         g         6         6
       48    1.139366e+04         h         6         6
       49   -3.934790e+03         g         7         0
       50    1.570167e+04         g         7         1
       51   -1.495924e+04         h         7         1
       52   -1.737621e+04         g         7         2
       53   -3.228542e+04         h         7         2
       54   -4.610195e+03         g         7         3
       55    4.885228e+03         h         7         3
       56   -1.772108e+04         g         7         4
       57    1.417862e+04         h         7         4
       58    8.803209e+03         g         7         5
       59   -1.726445e+04         h         7         5
       60   -6.100178e+03         g         7         6
       61   -5.091990e+03         h         7         6
       62    9.860901e+03         g         7         7
       63   -1.483786e+04         h         7         7
       64    3.818884e+04         g         8         0
       65    3.722968e+02         g         8         1
       66   -1.169997e+04         h         8         1
       67   -2.125552e+04         g         8         2
       68   -3.349412e+04         h         8         2
       69    4.077016e+02         g         8         3
       70    2.897728e+04         h         8         3
       71   -1.376605e+04         g         8         4
       72   -4.967090e+03         h         8         4
       73   -4.950020e+03         g         8         5
       74    6.814640e+03         h         8         5
       75   -1.237195e+04         g         8         6
       76   -9.465129e+03         h         8         6
       77   -3.938544e+03         g         8         7
       78    2.685135e+03         h         8         7
       79   -8.858689e+03         g         8         8
       80   -9.228570e+03         h         8         8
       81    2.256211e+04         g         9         0
       82   -7.217287e+03         g         9         1
       83   -2.068307e+04         h         9         1
       84    3.743304e+03         g         9         2
       85   -6.409147e+03         h         9         2
       86    2.321211e+03         g         9         3
       87    1.993887e+04         h         9         3
       88    1.133998e+04         g         9         4
       89   -3.844837e+03         h         9         4
       90   -8.842578e+03         g         9         5
       91    1.128074e+04         h         9         5
       92    5.118850e+03         g         9         6
       93   -5.703067e+02         h         9         6
       94   -5.121608e+03         g         9         7
       95    5.989923e+03         h         9         7
