      IND             SHC     g | h         n         m
        1    4.792979e+05         g         1         0
        2   -8.317325e+04         g         1         1
        3    2.463493e+04         h         1         1
        4    1.444781e+04         g         2         0
        5   -6.994066e+04         g         2         1
        6   -5.242641e+04         h         2         1
        7    5.928212e+04         g         2         2
        8    2.482793e+04         h         2         2
        9    3.581489e+03         g         3         0
       10   -4.832392e+04         g         3         1
       11   -4.229526e+04         h         3         1
       12    1.983281e+04         g         3         2
       13    5.477266e+04         h         3         2
       14   -2.081166e+03         g         3         3
       15   -3.550882e+04         h         3         3
       16   -4.644867e+04         g         4         0
       17   -1.118519e+04         g         4         1
       18    4.337567e+04         h         4         1
       19   -3.539082e+03         g         4         2
       20    3.783480e+04         h         4         2
       21   -1.463639e+04         g         4         3
       22   -8.766265e+02         h         4         3
       23   -2.452241e+04         g         4         4
       24   -1.702338e+03         h         4         4
       25   -2.726417e+04         g         5         0
       26    6.632563e+03         g         5         1
       27    6.620593e+04         h         5         1
       28    2.368737e+04         g         5         2
       29   -1.986539e+03         h         5         2
       30   -2.498491e+04         g         5         3
       31    8.539194e+03         h         5         3
       32   -3.628777e+03         g         5         4
       33    1.510208e+04         h         5         4
       34   -7.027444e+03         g         5         5
       35    1.450123e+04         h         5         5
       36   -3.026316e+04         g         6         0
       37    1.402336e+04         g         6         1
       38    1.922312e+04         h         6         1
       39    1.816002e+04         g         6         2
       40   -1.388256e+04         h         6         2
       41   -1.847946e+04         g         6         3
       42   -3.568803e+02         h         6         3
       43    3.975485e+03         g         6         4
       44    2.080061e+04         h         6         4
       45    2.149725e+03         g         6         5
       46   -5.555628e+03         h         6         5
       47    1.224018e+04         g         6         6
       48    7.138018e+03         h         6         6
       49   -3.072993e+03         g         7         0
       50    9.958194e+03         g         7         1
       51   -9.725670e+03         h         7         1
       52   -1.063857e+04         g         7         2
       53   -1.975579e+04         h         7         2
       54   -3.103113e+03         g         7         3
       55    3.152180e+03         h         7         3
       56   -1.098952e+04         g         7         4
       57    8.602424e+03         h         7         4
       58    5.160481e+03         g         7         5
       59   -1.055919e+04         h         7         5
       60   -3.973741e+03         g         7         6
       61   -3.094744e+03         h         7         6
